@relation unknow
@attribute sp11 integer [0, 255]
@attribute sp12 integer [0, 255]
@attribute sp13 integer [0, 255]
@attribute sp14 integer [0, 255]
@attribute sp15 integer [0, 255]
@attribute sp16 integer [0, 255]
@attribute sp17 integer [0, 255]
@attribute sp18 integer [0, 255]
@attribute sp19 integer [0, 255]
@attribute sp21 integer [0, 255]
@attribute sp22 integer [0, 255]
@attribute sp23 integer [0, 255]
@attribute sp24 integer [0, 255]
@attribute sp25 integer [0, 255]
@attribute sp26 integer [0, 255]
@attribute sp27 integer [0, 255]
@attribute sp28 integer [0, 255]
@attribute sp29 integer [0, 255]
@attribute sp31 integer [0, 255]
@attribute sp32 integer [0, 255]
@attribute sp33 integer [0, 255]
@attribute sp34 integer [0, 255]
@attribute sp35 integer [0, 255]
@attribute sp36 integer [0, 255]
@attribute sp37 integer [0, 255]
@attribute sp38 integer [0, 255]
@attribute sp39 integer [0, 255]
@attribute sp41 integer [0, 255]
@attribute sp42 integer [0, 255]
@attribute sp43 integer [0, 255]
@attribute sp44 integer [0, 255]
@attribute sp45 integer [0, 255]
@attribute sp46 integer [0, 255]
@attribute sp47 integer [0, 255]
@attribute sp48 integer [0, 255]
@attribute sp49 integer [0, 255]
@attribute class {1, 2, 3, 4, 5, 6, 7}
@inputs sp11, sp12, sp13, sp14, sp15, sp16, sp17, sp18, sp19, sp21, sp22, sp23, sp24, sp25, sp26, sp27, sp28, sp29, sp31, sp32, sp33, sp34, sp35, sp36, sp37, sp38, sp39, sp41, sp42, sp43, sp44, sp45, sp46, sp47, sp48, sp49
@outputs class
@data
57, 55, 78, 72, 53, 49, 71, 65, 57, 49, 74, 65, 53, 54, 75, 70, 53, 54, 71, 63, 56, 54, 71, 63, 55, 54, 85, 67, 55, 51, 74, 67, 55, 48, 70, 62, 5
88, 103, 113, 83, 84, 103, 104, 83, 84, 99, 109, 83, 82, 100, 104, 81, 82, 100, 104, 81, 86, 100, 104, 81, 79, 95, 105, 79, 83, 99, 105, 83, 87, 99, 105, 83, 3
84, 99, 104, 83, 84, 99, 104, 83, 79, 95, 100, 75, 82, 100, 104, 85, 86, 100, 108, 85, 86, 100, 112, 85, 87, 99, 105, 83, 83, 103, 105, 86, 83, 103, 105, 79, 3
59, 61, 77, 71, 55, 54, 85, 67, 55, 51, 74, 67, 66, 63, 76, 66, 59, 60, 73, 63, 59, 56, 76, 66, 67, 73, 75, 60, 63, 66, 68, 57, 63, 63, 72, 60, 5
70, 83, 92, 66, 70, 83, 88, 70, 70, 83, 84, 66, 75, 91, 97, 75, 75, 88, 93, 72, 67, 81, 86, 64, 74, 88, 93, 76, 67, 75, 93, 80, 57, 63, 97, 90, 4
82, 96, 100, 81, 82, 100, 108, 81, 82, 96, 104, 78, 87, 95, 97, 83, 83, 99, 101, 79, 83, 99, 105, 79, 85, 111, 114, 87, 89, 106, 114, 87, 89, 106, 105, 87, 3
82, 102, 105, 83, 82, 102, 114, 87, 89, 106, 114, 87, 88, 102, 111, 83, 84, 102, 106, 83, 88, 102, 115, 87, 88, 99, 108, 85, 84, 103, 108, 85, 88, 103, 113, 85, 3
82, 102, 114, 87, 89, 106, 114, 87, 89, 106, 114, 83, 84, 102, 106, 83, 88, 102, 115, 87, 84, 102, 102, 83, 84, 103, 108, 85, 88, 103, 113, 85, 84, 99, 104, 81, 3
88, 121, 133, 103, 92, 121, 128, 103, 88, 121, 128, 99, 88, 121, 128, 104, 93, 116, 123, 96, 88, 111, 118, 92, 90, 123, 127, 103, 90, 118, 122, 96, 90, 109, 117, 89, 3
80, 95, 100, 78, 80, 99, 100, 74, 84, 95, 100, 78, 84, 95, 104, 79, 84, 99, 100, 75, 79, 99, 100, 75, 82, 100, 100, 81, 82, 100, 96, 78, 78, 96, 100, 81, 3
