@relation unknow
@attribute a01 real [0.0, 1.0]
@attribute a02 real [0.0, 0.0]
@attribute a03 real [-1.0, 1.0]
@attribute a04 real [-1.0, 1.0]
@attribute a05 real [-1.0, 1.0]
@attribute a06 real [-1.0, 1.0]
@attribute a07 real [-1.0, 1.0]
@attribute a08 real [-1.0, 1.0]
@attribute a09 real [-1.0, 1.0]
@attribute a10 real [-1.0, 1.0]
@attribute a11 real [-1.0, 1.0]
@attribute a12 real [-1.0, 1.0]
@attribute a13 real [-1.0, 1.0]
@attribute a14 real [-1.0, 1.0]
@attribute a15 real [-1.0, 1.0]
@attribute a16 real [-1.0, 1.0]
@attribute a17 real [-1.0, 1.0]
@attribute a18 real [-1.0, 1.0]
@attribute a19 real [-1.0, 1.0]
@attribute a20 real [-1.0, 1.0]
@attribute a21 real [-1.0, 1.0]
@attribute a22 real [-1.0, 1.0]
@attribute a23 real [-1.0, 1.0]
@attribute a24 real [-1.0, 1.0]
@attribute a25 real [-1.0, 1.0]
@attribute a26 real [-1.0, 1.0]
@attribute a27 real [-1.0, 1.0]
@attribute a28 real [-1.0, 1.0]
@attribute a29 real [-1.0, 1.0]
@attribute a30 real [-1.0, 1.0]
@attribute a31 real [-1.0, 1.0]
@attribute a32 real [-1.0, 1.0]
@attribute a33 real [-1.0, 1.0]
@attribute a34 real [-1.0, 1.0]
@attribute class {b, g}
@inputs a01, a02, a03, a04, a05, a06, a07, a08, a09, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34
@outputs class
@data
1.0, 0.0, 1.0, 0.54902, 0.62745, 1.0, 0.01961, 1.0, -0.4902, 0.92157, -0.82353, 0.58824, -1.0, 0.11765, -0.96078, -0.33333, -0.64706, -0.68627, -0.23529, -0.86275, 0.35294, -1.0, 0.7451, -0.72549, 0.92157, -0.21569, 0.92874, 0.21876, 0.72549, 0.56863, 0.23529, 0.90196, -0.11765, 0.90196, g
1.0, 0.0, 0.9449, -0.49311, 1.0, -0.03692, 0.98898, -0.87052, 0.90083, 0.66942, 1.0, -0.10104, 1.0, -0.12493, 1.0, -0.15017, 1.0, -0.17681, 1.0, -0.20491, 1.0, -0.23452, 1.0, -0.26571, 1.0, -0.29852, 1.0, -0.33304, 1.0, -0.36931, 1.0, -0.4074, 1.0, -0.44739, g
1.0, 0.0, 0.45455, 0.09091, 0.63636, 0.09091, 0.27273, 0.18182, 0.63636, 0.0, 0.36364, -0.09091, 0.45455, -0.09091, 0.48612, -0.01343, 0.63636, -0.18182, 0.45455, 0.0, 0.36364, -0.09091, 0.27273, 0.18182, 0.36364, -0.09091, 0.34442, -0.01768, 0.27273, 0.0, 0.36364, 0.0, 0.28985, -0.01832, g
1.0, 0.0, 0.96933, 0.00876, 1.0, 0.00843, 0.98658, -0.00763, 0.97868, -0.02844, 0.9982, -0.0351, 1.0, -0.01271, 1.0, -0.02581, 1.0, -0.01175, 0.98485, 2.5E-4, 1.0, -0.02612, 1.0, -0.04744, 0.96019, -0.04527, 0.99188, -0.03473, 0.9702, -0.02478, 1.0, -0.03855, 0.9842, -0.04112, g
1.0, 0.0, 0.4709, 0.22751, 0.42328, 0.33598, 0.25661, 0.47619, 0.01852, 0.49471, -0.02116, 0.53968, -0.34127, 0.31217, -0.4127, 0.3254, -0.51587, 0.06878, -0.5, -0.1164, -0.14815, -0.1455, -0.14815, -0.38095, -0.2328, 0.00265, 0.03574, -0.31739, 0.15873, -0.21693, 0.24868, -0.24339, 0.2672, 0.04233, g
1.0, 0.0, 0.03852, 0.02568, 0.00428, 0.0, 0.01997, -0.01997, 0.0214, -0.04993, -0.0485, -0.01284, 0.01427, -0.02282, 0.0, -0.03281, -0.04708, -0.02853, -0.01712, 0.03566, 0.0214, 0.00428, 0.05136, -0.02282, 0.05136, 0.01854, 0.03994, 0.01569, 0.01997, 0.00713, -0.02568, -0.01854, -0.01427, 0.01997, b
1.0, 0.0, 0.0, 0.0, 1.0, 0.12889, 0.88444, -0.02, 0.0, 0.0, 1.0, -0.42444, 1.0, 0.19556, 1.0, -0.05333, 1.0, -0.81556, 0.0, 0.0, 1.0, -0.04, 1.0, -0.18667, 0.0, 0.0, 1.0, -1.0, 0.0, 0.0, 1.0, 0.11778, 0.90667, -0.09556, b
1.0, 0.0, 0.61538, 0.18923, 0.78157, 0.0178, 0.77486, 0.02647, 0.65077, -0.10308, 0.77538, 0.08, 0.73961, 0.0506, 0.72322, 0.05776, 0.68615, -0.08923, 0.61692, 0.16308, 0.66233, 0.07573, 0.63878, 0.08041, 0.60154, -0.07231, 0.58803, 0.08767, 0.55077, 0.25692, 0.53389, 0.09207, 0.50609, 0.09322, g
1.0, 0.0, 0.76627, 0.21106, 0.63935, 0.38112, 0.48409, 0.525, 0.15, 0.22273, 0.13753, 0.59565, -0.07727, 0.44545, 0.0, 0.48636, -0.27491, 0.42014, -0.56136, 0.36818, -0.36591, 0.18864, -0.40533, 0.07588, -0.38483, -0.03229, -0.33942, -0.12486, -0.2754, -0.19714, -0.19962, -0.24648, -0.11894, -0.27218, g
1.0, 0.0, 0.66667, -0.01366, 0.97404, 0.06831, 0.4959, 0.50137, 0.75683, -0.00273, 0.65164, -0.14071, 0.40164, -0.48907, 0.39208, 0.58743, 0.76776, 0.31831, 0.78552, 0.11339, 0.47541, -0.44945, 1.0, 0.00683, 0.60656, 0.06967, 0.68656, 0.17088, 0.87568, 0.07787, 0.55328, 0.2459, 0.13934, 0.48087, g
1.0, 0.0, 0.1859, -0.16667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11538, -0.19071, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05128, -0.06571, 0.07853, 0.08974, 0.17308, -0.10897, 0.125, 0.09615, 0.02564, -0.04808, 0.16827, 0.19551, b
