@relation sonar
@attribute Band1 real [0.0020, 0.137]
@attribute Band2 real [0.0010, 0.234]
@attribute Band3 real [0.0020, 0.306]
@attribute Band4 real [0.0060, 0.426]
@attribute Band5 real [0.0070, 0.401]
@attribute Band6 real [0.01, 0.382]
@attribute Band7 real [0.0030, 0.373]
@attribute Band8 real [0.0060, 0.459]
@attribute Band9 real [0.0080, 0.683]
@attribute Band10 real [0.011, 0.711]
@attribute Band11 real [0.029, 0.734]
@attribute Band12 real [0.024, 0.706]
@attribute Band13 real [0.018, 0.713]
@attribute Band14 real [0.027, 0.997]
@attribute Band15 real [0.0030, 1.0]
@attribute Band16 real [0.016, 0.999]
@attribute Band17 real [0.035, 1.0]
@attribute Band18 real [0.038, 1.0]
@attribute Band19 real [0.049, 1.0]
@attribute Band20 real [0.066, 1.0]
@attribute Band21 real [0.051, 1.0]
@attribute Band22 real [0.022, 1.0]
@attribute Band23 real [0.056, 1.0]
@attribute Band24 real [0.024, 1.0]
@attribute Band25 real [0.024, 1.0]
@attribute Band26 real [0.092, 1.0]
@attribute Band27 real [0.048, 1.0]
@attribute Band28 real [0.028, 1.0]
@attribute Band29 real [0.014, 1.0]
@attribute Band30 real [0.061, 1.0]
@attribute Band31 real [0.048, 0.966]
@attribute Band32 real [0.04, 0.931]
@attribute Band33 real [0.048, 1.0]
@attribute Band34 real [0.021, 0.965]
@attribute Band35 real [0.022, 1.0]
@attribute Band36 real [0.0080, 1.0]
@attribute Band37 real [0.035, 0.95]
@attribute Band38 real [0.038, 1.0]
@attribute Band39 real [0.037, 0.986]
@attribute Band40 real [0.012, 0.93]
@attribute Band41 real [0.036, 0.9]
@attribute Band42 real [0.0060, 0.825]
@attribute Band43 real [0.0, 0.773]
@attribute Band44 real [0.0, 0.776]
@attribute Band45 real [0.0, 0.703]
@attribute Band46 real [0.0, 0.729]
@attribute Band47 real [0.0, 0.552]
@attribute Band48 real [0.0, 0.334]
@attribute Band49 real [0.0, 0.198]
@attribute Band50 real [0.0, 0.082]
@attribute Band51 real [0.0, 0.1]
@attribute Band52 real [0.0010, 0.071]
@attribute Band53 real [0.0, 0.039]
@attribute Band54 real [0.0010, 0.035]
@attribute Band55 real [0.0010, 0.045]
@attribute Band56 real [0.0, 0.039]
@attribute Band57 real [0.0, 0.036]
@attribute Band58 real [0.0, 0.044]
@attribute Band59 real [0.0, 0.036]
@attribute Band60 real [0.0010, 0.044]
@attribute Type {R, M}
@inputs Band1, Band2, Band3, Band4, Band5, Band6, Band7, Band8, Band9, Band10, Band11, Band12, Band13, Band14, Band15, Band16, Band17, Band18, Band19, Band20, Band21, Band22, Band23, Band24, Band25, Band26, Band27, Band28, Band29, Band30, Band31, Band32, Band33, Band34, Band35, Band36, Band37, Band38, Band39, Band40, Band41, Band42, Band43, Band44, Band45, Band46, Band47, Band48, Band49, Band50, Band51, Band52, Band53, Band54, Band55, Band56, Band57, Band58, Band59, Band60
@outputs Type
@data
0.026, 0.058, 0.11, 0.108, 0.097, 0.228, 0.243, 0.377, 0.56, 0.619, 0.633, 0.706, 0.554, 0.532, 0.648, 0.693, 0.676, 0.755, 0.893, 0.862, 0.797, 0.674, 0.429, 0.365, 0.533, 0.241, 0.507, 0.853, 0.604, 0.851, 0.851, 0.504, 0.186, 0.271, 0.423, 0.304, 0.612, 0.676, 0.538, 0.472, 0.465, 0.259, 0.213, 0.222, 0.211, 0.018, 0.135, 0.074, 0.013, 0.011, 0.0030, 0.023, 0.017, 0.01, 0.018, 0.024, 0.032, 0.016, 0.01, 0.0080, R
0.022, 0.038, 0.048, 0.048, 0.065, 0.059, 0.075, 0.01, 0.068, 0.149, 0.116, 0.165, 0.383, 0.36, 0.171, 0.114, 0.035, 0.38, 0.74, 0.992, 0.98, 0.889, 0.671, 0.429, 0.337, 0.737, 0.961, 0.735, 0.486, 0.159, 0.301, 0.41, 0.317, 0.33, 0.341, 0.219, 0.246, 0.273, 0.168, 0.279, 0.256, 0.174, 0.212, 0.11, 0.098, 0.127, 0.146, 0.116, 0.078, 0.044, 0.0060, 0.014, 0.013, 0.014, 0.0060, 0.0050, 0.0060, 0.0090, 0.0060, 0.0020, R
0.0090, 0.0060, 0.025, 0.049, 0.12, 0.159, 0.139, 0.099, 0.096, 0.19, 0.19, 0.255, 0.407, 0.299, 0.29, 0.533, 0.402, 0.157, 0.302, 0.391, 0.354, 0.444, 0.641, 0.46, 0.601, 0.869, 0.834, 0.767, 0.508, 0.462, 0.538, 0.538, 0.384, 0.36, 0.74, 0.776, 0.386, 0.067, 0.368, 0.611, 0.351, 0.231, 0.22, 0.305, 0.194, 0.157, 0.048, 0.054, 0.015, 0.0070, 0.019, 0.0060, 0.01, 0.019, 0.0080, 0.015, 0.016, 0.0050, 0.019, 0.01, R
0.03, 0.062, 0.065, 0.092, 0.162, 0.229, 0.218, 0.203, 0.146, 0.085, 0.248, 0.364, 0.278, 0.283, 0.324, 0.434, 0.564, 0.456, 0.435, 0.643, 0.393, 0.199, 0.354, 0.916, 0.937, 0.462, 0.277, 0.661, 0.803, 0.42, 0.519, 0.696, 0.579, 0.889, 0.786, 0.713, 0.762, 0.44, 0.301, 0.316, 0.281, 0.29, 0.053, 0.187, 0.155, 0.163, 0.125, 0.075, 0.045, 0.0060, 0.015, 0.0030, 0.015, 0.0070, 0.021, 0.0080, 0.015, 0.0050, 0.02, 0.0070, R
0.01, 0.028, 0.019, 0.037, 0.042, 0.02, 0.031, 0.065, 0.19, 0.267, 0.338, 0.328, 0.243, 0.127, 0.128, 0.444, 0.68, 0.705, 0.797, 0.94, 0.986, 0.819, 0.579, 0.639, 0.704, 0.688, 0.408, 0.181, 0.206, 0.392, 0.379, 0.204, 0.223, 0.334, 0.398, 0.508, 0.553, 0.335, 0.272, 0.228, 0.204, 0.199, 0.084, 0.091, 0.138, 0.195, 0.121, 0.084, 0.059, 0.025, 0.012, 0.0090, 0.01, 0.0040, 0.0090, 0.0050, 0.012, 0.0020, 0.0090, 0.0060, R
0.024, 0.022, 0.032, 0.057, 0.033, 0.051, 0.09, 0.071, 0.057, 0.039, 0.193, 0.243, 0.291, 0.261, 0.381, 0.5, 0.302, 0.366, 0.679, 0.731, 0.505, 0.444, 0.699, 0.813, 0.778, 0.894, 0.893, 0.891, 0.861, 0.806, 0.554, 0.245, 0.346, 0.162, 0.247, 0.556, 0.468, 0.098, 0.158, 0.075, 0.332, 0.374, 0.267, 0.108, 0.142, 0.169, 0.074, 0.063, 0.014, 0.023, 0.0060, 0.016, 0.015, 0.0090, 0.011, 0.0090, 0.0050, 0.0020, 0.0070, 0.0020, R
0.0080, 0.015, 0.029, 0.043, 0.095, 0.075, 0.041, 0.026, 0.069, 0.175, 0.197, 0.117, 0.168, 0.081, 0.218, 0.512, 0.723, 0.778, 0.622, 0.35, 0.373, 0.262, 0.378, 0.736, 0.867, 0.822, 0.777, 0.786, 0.565, 0.364, 0.353, 0.386, 0.337, 0.169, 0.263, 0.32, 0.139, 0.105, 0.168, 0.191, 0.117, 0.093, 0.086, 0.095, 0.099, 0.096, 0.043, 0.041, 0.011, 0.018, 0.0060, 0.024, 0.011, 0.014, 0.012, 0.0060, 0.0060, 0.0030, 0.0070, 0.0040, R
0.02, 0.021, 0.0060, 0.019, 0.032, 0.057, 0.1, 0.067, 0.069, 0.024, 0.073, 0.064, 0.3, 0.385, 0.477, 0.46, 0.318, 0.416, 0.643, 1.0, 0.863, 0.521, 0.316, 0.595, 0.773, 0.604, 0.438, 0.549, 0.472, 0.624, 0.385, 0.159, 0.389, 0.529, 0.35, 0.448, 0.404, 0.503, 0.648, 0.549, 0.355, 0.203, 0.188, 0.084, 0.132, 0.159, 0.056, 0.062, 0.034, 0.037, 0.026, 0.016, 0.0070, 0.027, 0.02, 0.0090, 0.01, 0.01, 0.0020, 0.0050, R
0.044, 0.048, 0.0050, 0.058, 0.028, 0.068, 0.166, 0.149, 0.097, 0.127, 0.111, 0.238, 0.201, 0.214, 0.111, 0.204, 0.247, 0.668, 0.834, 0.825, 0.802, 0.898, 0.966, 0.852, 0.663, 0.324, 0.205, 0.567, 0.573, 0.488, 0.753, 0.76, 0.518, 0.412, 0.556, 0.557, 0.134, 0.383, 0.461, 0.433, 0.256, 0.147, 0.349, 0.266, 0.094, 0.137, 0.134, 0.042, 0.072, 0.064, 0.021, 0.02, 0.022, 0.014, 0.0060, 0.0070, 0.0080, 0.01, 0.0060, 0.01, R
0.012, 0.0020, 0.02, 0.021, 0.018, 0.049, 0.0030, 0.04, 0.079, 0.048, 0.115, 0.052, 0.119, 0.194, 0.184, 0.208, 0.196, 0.163, 0.122, 0.102, 0.135, 0.316, 0.464, 0.591, 0.678, 0.812, 0.859, 0.923, 0.839, 0.724, 0.629, 0.518, 0.463, 0.526, 0.515, 0.393, 0.128, 0.041, 0.086, 0.113, 0.131, 0.176, 0.265, 0.196, 0.066, 0.058, 0.032, 0.03, 0.027, 0.0070, 0.015, 0.012, 0.013, 0.0030, 0.0040, 0.0020, 0.011, 0.0060, 0.0050, 0.0070, R
