@relation sonar
@attribute Band1 real [0.0020, 0.137]
@attribute Band2 real [0.0010, 0.234]
@attribute Band3 real [0.0020, 0.306]
@attribute Band4 real [0.0060, 0.426]
@attribute Band5 real [0.0070, 0.401]
@attribute Band6 real [0.01, 0.382]
@attribute Band7 real [0.0030, 0.373]
@attribute Band8 real [0.0060, 0.459]
@attribute Band9 real [0.0080, 0.683]
@attribute Band10 real [0.011, 0.711]
@attribute Band11 real [0.029, 0.734]
@attribute Band12 real [0.024, 0.706]
@attribute Band13 real [0.018, 0.713]
@attribute Band14 real [0.027, 0.997]
@attribute Band15 real [0.0030, 1.0]
@attribute Band16 real [0.016, 0.999]
@attribute Band17 real [0.035, 1.0]
@attribute Band18 real [0.038, 1.0]
@attribute Band19 real [0.049, 1.0]
@attribute Band20 real [0.066, 1.0]
@attribute Band21 real [0.051, 1.0]
@attribute Band22 real [0.022, 1.0]
@attribute Band23 real [0.056, 1.0]
@attribute Band24 real [0.024, 1.0]
@attribute Band25 real [0.024, 1.0]
@attribute Band26 real [0.092, 1.0]
@attribute Band27 real [0.048, 1.0]
@attribute Band28 real [0.028, 1.0]
@attribute Band29 real [0.014, 1.0]
@attribute Band30 real [0.061, 1.0]
@attribute Band31 real [0.048, 0.966]
@attribute Band32 real [0.04, 0.931]
@attribute Band33 real [0.048, 1.0]
@attribute Band34 real [0.021, 0.965]
@attribute Band35 real [0.022, 1.0]
@attribute Band36 real [0.0080, 1.0]
@attribute Band37 real [0.035, 0.95]
@attribute Band38 real [0.038, 1.0]
@attribute Band39 real [0.037, 0.986]
@attribute Band40 real [0.012, 0.93]
@attribute Band41 real [0.036, 0.9]
@attribute Band42 real [0.0060, 0.825]
@attribute Band43 real [0.0, 0.773]
@attribute Band44 real [0.0, 0.776]
@attribute Band45 real [0.0, 0.703]
@attribute Band46 real [0.0, 0.729]
@attribute Band47 real [0.0, 0.552]
@attribute Band48 real [0.0, 0.334]
@attribute Band49 real [0.0, 0.198]
@attribute Band50 real [0.0, 0.082]
@attribute Band51 real [0.0, 0.1]
@attribute Band52 real [0.0010, 0.071]
@attribute Band53 real [0.0, 0.039]
@attribute Band54 real [0.0010, 0.035]
@attribute Band55 real [0.0010, 0.045]
@attribute Band56 real [0.0, 0.039]
@attribute Band57 real [0.0, 0.036]
@attribute Band58 real [0.0, 0.044]
@attribute Band59 real [0.0, 0.036]
@attribute Band60 real [0.0010, 0.044]
@attribute Type {R, M}
@inputs Band1, Band2, Band3, Band4, Band5, Band6, Band7, Band8, Band9, Band10, Band11, Band12, Band13, Band14, Band15, Band16, Band17, Band18, Band19, Band20, Band21, Band22, Band23, Band24, Band25, Band26, Band27, Band28, Band29, Band30, Band31, Band32, Band33, Band34, Band35, Band36, Band37, Band38, Band39, Band40, Band41, Band42, Band43, Band44, Band45, Band46, Band47, Band48, Band49, Band50, Band51, Band52, Band53, Band54, Band55, Band56, Band57, Band58, Band59, Band60
@outputs Type
@data
0.02, 0.037, 0.043, 0.021, 0.095, 0.099, 0.154, 0.16, 0.311, 0.211, 0.161, 0.158, 0.224, 0.064, 0.066, 0.227, 0.31, 0.3, 0.508, 0.48, 0.578, 0.507, 0.433, 0.555, 0.671, 0.642, 0.71, 0.808, 0.679, 0.386, 0.131, 0.26, 0.512, 0.755, 0.854, 0.851, 0.669, 0.61, 0.494, 0.274, 0.051, 0.283, 0.282, 0.426, 0.264, 0.139, 0.105, 0.134, 0.038, 0.032, 0.023, 0.0030, 0.0060, 0.016, 0.0070, 0.017, 0.018, 0.0080, 0.0090, 0.0030, R
0.045, 0.052, 0.084, 0.069, 0.118, 0.258, 0.216, 0.348, 0.334, 0.287, 0.492, 0.655, 0.692, 0.78, 0.746, 0.944, 1.0, 0.887, 0.802, 0.782, 0.521, 0.405, 0.396, 0.391, 0.325, 0.32, 0.327, 0.277, 0.442, 0.203, 0.379, 0.295, 0.198, 0.234, 0.131, 0.418, 0.384, 0.106, 0.184, 0.197, 0.167, 0.058, 0.14, 0.163, 0.062, 0.02, 0.053, 0.074, 0.041, 0.0060, 0.012, 0.0080, 0.0090, 0.0050, 0.0090, 0.019, 0.014, 0.0050, 0.0050, 0.0040, R
0.076, 0.067, 0.048, 0.039, 0.059, 0.065, 0.121, 0.247, 0.356, 0.446, 0.415, 0.395, 0.426, 0.414, 0.453, 0.533, 0.731, 0.619, 0.203, 0.464, 0.415, 0.429, 0.573, 0.54, 0.316, 0.228, 0.7, 1.0, 0.726, 0.472, 0.51, 0.546, 0.288, 0.098, 0.195, 0.418, 0.46, 0.322, 0.283, 0.243, 0.198, 0.244, 0.185, 0.084, 0.069, 0.053, 0.036, 0.0080, 0.023, 0.0050, 0.016, 0.0030, 0.0050, 0.01, 0.011, 0.0020, 0.0070, 0.0050, 0.011, 0.0090, R
0.012, 0.015, 0.014, 0.0080, 0.021, 0.106, 0.102, 0.044, 0.093, 0.073, 0.074, 0.062, 0.106, 0.118, 0.172, 0.258, 0.323, 0.382, 0.424, 0.422, 0.445, 0.408, 0.331, 0.401, 0.447, 0.522, 0.755, 0.95, 1.0, 0.908, 0.828, 0.757, 0.726, 0.615, 0.568, 0.576, 0.532, 0.367, 0.167, 0.087, 0.065, 0.189, 0.268, 0.289, 0.234, 0.167, 0.102, 0.12, 0.07, 0.017, 0.011, 0.0090, 0.0020, 0.0080, 0.0060, 0.0030, 0.0030, 0.0040, 0.0070, 0.0040, R
0.015, 0.032, 0.06, 0.105, 0.116, 0.173, 0.168, 0.112, 0.089, 0.12, 0.085, 0.152, 0.23, 0.279, 0.34, 0.453, 0.695, 0.881, 0.915, 0.754, 0.674, 0.715, 0.834, 0.77, 0.699, 0.654, 0.504, 0.493, 0.499, 0.416, 0.163, 0.04, 0.064, 0.296, 0.361, 0.187, 0.048, 0.15, 0.24, 0.198, 0.318, 0.238, 0.172, 0.156, 0.156, 0.042, 0.049, 0.048, 0.022, 0.0060, 0.0090, 0.0060, 0.0020, 0.0080, 0.013, 0.0050, 0.0010, 0.0020, 0.0020, 0.0060, R
0.018, 0.03, 0.029, 0.039, 0.063, 0.053, 0.069, 0.063, 0.062, 0.061, 0.168, 0.348, 0.456, 0.519, 0.631, 0.72, 0.515, 0.382, 0.264, 0.334, 0.486, 0.663, 0.739, 0.921, 1.0, 0.775, 0.559, 0.617, 0.864, 0.659, 0.477, 0.498, 0.333, 0.308, 0.288, 0.223, 0.079, 0.06, 0.105, 0.061, 0.153, 0.098, 0.164, 0.19, 0.111, 0.192, 0.147, 0.039, 0.036, 0.027, 0.017, 0.01, 0.012, 0.0040, 0.0080, 0.012, 0.01, 0.0060, 0.0030, 0.0020, R
0.019, 0.031, 0.02, 0.062, 0.0080, 0.079, 0.144, 0.145, 0.179, 0.252, 0.261, 0.371, 0.391, 0.267, 0.272, 0.418, 0.699, 0.573, 0.223, 0.263, 0.747, 0.726, 0.339, 0.282, 0.605, 0.59, 0.497, 0.862, 0.834, 0.408, 0.227, 0.174, 0.051, 0.159, 0.304, 0.137, 0.16, 0.206, 0.073, 0.02, 0.164, 0.158, 0.183, 0.189, 0.101, 0.066, 0.018, 0.04, 0.011, 0.014, 0.0090, 0.0040, 0.01, 0.014, 0.019, 0.014, 0.01, 0.0090, 0.0050, 0.0080, R
0.033, 0.022, 0.027, 0.048, 0.068, 0.098, 0.084, 0.117, 0.076, 0.092, 0.148, 0.052, 0.112, 0.097, 0.117, 0.168, 0.164, 0.12, 0.049, 0.154, 0.348, 0.615, 0.915, 0.936, 0.868, 0.877, 0.855, 0.883, 1.0, 0.83, 0.66, 0.55, 0.572, 0.686, 0.682, 0.514, 0.275, 0.136, 0.155, 0.265, 0.199, 0.188, 0.275, 0.165, 0.058, 0.07, 0.06, 0.046, 0.0020, 0.0070, 0.0040, 0.0020, 0.0030, 0.0060, 0.0050, 0.0060, 0.014, 0.013, 0.0050, 0.0040, R
0.031, 0.034, 0.02, 0.089, 0.157, 0.175, 0.092, 0.135, 0.159, 0.28, 0.334, 0.294, 0.161, 0.334, 0.498, 0.73, 0.735, 0.825, 0.879, 0.966, 1.0, 0.871, 0.647, 0.597, 0.822, 0.776, 0.611, 0.42, 0.299, 0.135, 0.244, 0.562, 0.556, 0.696, 0.73, 0.702, 0.547, 0.142, 0.474, 0.641, 0.438, 0.318, 0.238, 0.281, 0.137, 0.114, 0.103, 0.069, 0.042, 0.012, 0.0070, 0.017, 0.013, 0.014, 0.0090, 0.0050, 0.0030, 0.012, 0.0060, 0.0020, R
0.035, 0.071, 0.033, 0.027, 0.037, 0.079, 0.108, 0.069, 0.03, 0.088, 0.108, 0.098, 0.225, 0.282, 0.21, 0.124, 0.17, 0.094, 0.109, 0.141, 0.127, 0.315, 0.143, 0.226, 0.576, 0.788, 0.716, 0.6, 0.558, 0.63, 0.766, 0.894, 0.844, 0.681, 0.838, 1.0, 0.95, 0.787, 0.565, 0.348, 0.258, 0.23, 0.295, 0.336, 0.302, 0.219, 0.132, 0.108, 0.056, 0.0040, 0.01, 0.016, 0.024, 0.0040, 0.02, 0.011, 0.0040, 0.01, 0.0090, 0.0050, R
