@relation vehicle
@attribute Compactness integer [73, 119]
@attribute Circularity integer [33, 59]
@attribute Distance_circularity integer [40, 112]
@attribute Radius_ratio integer [104, 333]
@attribute Praxis_aspect_ratio integer [47, 138]
@attribute Max_length_aspect_ratio integer [2, 55]
@attribute Scatter_ratio integer [112, 265]
@attribute Elongatedness integer [26, 61]
@attribute Praxis_rectangular integer [17, 29]
@attribute Length_rectangular integer [118, 188]
@attribute Major_variance integer [130, 320]
@attribute Minor_variance integer [184, 1018]
@attribute Gyration_radius integer [109, 268]
@attribute Major_skewness integer [59, 135]
@attribute Minor_skewness integer [0, 22]
@attribute Minor_kurtosis integer [0, 41]
@attribute Major_kurtosis integer [176, 206]
@attribute Hollows_ratio integer [181, 211]
@attribute Class {van, saab, bus, opel}
@inputs Compactness, Circularity, Distance_circularity, Radius_ratio, Praxis_aspect_ratio, Max_length_aspect_ratio, Scatter_ratio, Elongatedness, Praxis_rectangular, Length_rectangular, Major_variance, Minor_variance, Gyration_radius, Major_skewness, Minor_skewness, Minor_kurtosis, Major_kurtosis, Hollows_ratio
@outputs Class
@data
104.0, 50.0, 106.0, 209.0, 66.0, 10.0, 207.0, 32.0, 23.0, 158.0, 223.0, 635.0, 220.0, 73.0, 14.0, 9.0, 188.0, 196.0, saab
88.0, 46.0, 74.0, 171.0, 68.0, 6.0, 152.0, 43.0, 19.0, 148.0, 180.0, 349.0, 192.0, 71.0, 5.0, 11.0, 189.0, 195.0, bus
101.0, 56.0, 100.0, 215.0, 69.0, 10.0, 208.0, 32.0, 24.0, 169.0, 227.0, 651.0, 223.0, 74.0, 6.0, 5.0, 186.0, 193.0, opel
102.0, 45.0, 85.0, 193.0, 64.0, 6.0, 192.0, 33.0, 22.0, 146.0, 217.0, 570.0, 163.0, 76.0, 6.0, 7.0, 195.0, 193.0, bus
80.0, 38.0, 63.0, 129.0, 55.0, 7.0, 146.0, 46.0, 19.0, 130.0, 168.0, 314.0, 158.0, 83.0, 9.0, 20.0, 180.0, 185.0, saab
101.0, 48.0, 107.0, 222.0, 68.0, 10.0, 208.0, 32.0, 24.0, 154.0, 232.0, 641.0, 204.0, 70.0, 5.0, 38.0, 190.0, 202.0, opel
87.0, 38.0, 85.0, 177.0, 61.0, 8.0, 164.0, 40.0, 20.0, 129.0, 186.0, 402.0, 130.0, 63.0, 1.0, 25.0, 198.0, 205.0, opel
82.0, 44.0, 72.0, 118.0, 52.0, 7.0, 152.0, 44.0, 19.0, 147.0, 174.0, 340.0, 177.0, 82.0, 2.0, 2.0, 180.0, 185.0, bus
93.0, 46.0, 82.0, 145.0, 58.0, 11.0, 159.0, 43.0, 20.0, 160.0, 180.0, 371.0, 189.0, 77.0, 2.0, 4.0, 183.0, 194.0, van
91.0, 43.0, 70.0, 133.0, 55.0, 8.0, 130.0, 51.0, 18.0, 146.0, 159.0, 253.0, 156.0, 70.0, 1.0, 8.0, 190.0, 194.0, van
85.0, 42.0, 66.0, 122.0, 54.0, 6.0, 148.0, 46.0, 19.0, 141.0, 172.0, 317.0, 174.0, 88.0, 6.0, 14.0, 180.0, 182.0, bus
89.0, 47.0, 84.0, 133.0, 55.0, 11.0, 157.0, 44.0, 20.0, 160.0, 169.0, 354.0, 176.0, 74.0, 5.0, 9.0, 182.0, 192.0, van
98.0, 49.0, 84.0, 219.0, 74.0, 7.0, 190.0, 34.0, 22.0, 154.0, 208.0, 558.0, 209.0, 74.0, 4.0, 7.0, 195.0, 195.0, bus
97.0, 59.0, 108.0, 227.0, 70.0, 11.0, 224.0, 30.0, 25.0, 186.0, 225.0, 732.0, 218.0, 70.0, 10.0, 25.0, 186.0, 198.0, opel
101.0, 53.0, 103.0, 203.0, 63.0, 9.0, 195.0, 34.0, 22.0, 162.0, 210.0, 571.0, 210.0, 68.0, 5.0, 5.0, 191.0, 198.0, opel
87.0, 46.0, 71.0, 159.0, 66.0, 6.0, 151.0, 44.0, 19.0, 146.0, 175.0, 343.0, 189.0, 73.0, 2.0, 0.0, 186.0, 190.0, bus
104.0, 55.0, 107.0, 222.0, 68.0, 11.0, 218.0, 31.0, 24.0, 173.0, 232.0, 703.0, 229.0, 71.0, 3.0, 10.0, 188.0, 199.0, saab
85.0, 39.0, 77.0, 151.0, 59.0, 8.0, 150.0, 45.0, 19.0, 134.0, 176.0, 331.0, 133.0, 73.0, 0.0, 16.0, 184.0, 193.0, opel
94.0, 48.0, 83.0, 162.0, 64.0, 10.0, 156.0, 43.0, 19.0, 153.0, 177.0, 357.0, 187.0, 74.0, 4.0, 14.0, 185.0, 196.0, van
77.0, 38.0, 75.0, 144.0, 59.0, 6.0, 147.0, 46.0, 19.0, 132.0, 167.0, 315.0, 136.0, 80.0, 16.0, 20.0, 181.0, 187.0, opel
109.0, 53.0, 109.0, 221.0, 69.0, 12.0, 221.0, 31.0, 25.0, 169.0, 226.0, 712.0, 212.0, 72.0, 13.0, 28.0, 188.0, 201.0, saab
85.0, 43.0, 64.0, 128.0, 56.0, 8.0, 150.0, 46.0, 19.0, 144.0, 168.0, 324.0, 173.0, 82.0, 9.0, 14.0, 180.0, 184.0, bus
89.0, 37.0, 54.0, 119.0, 53.0, 5.0, 134.0, 50.0, 18.0, 127.0, 151.0, 266.0, 146.0, 79.0, 16.0, 14.0, 184.0, 185.0, saab
100.0, 48.0, 95.0, 209.0, 68.0, 7.0, 199.0, 32.0, 23.0, 150.0, 216.0, 605.0, 200.0, 73.0, 7.0, 11.0, 192.0, 194.0, bus
98.0, 39.0, 68.0, 121.0, 49.0, 7.0, 134.0, 51.0, 18.0, 142.0, 164.0, 261.0, 134.0, 75.0, 4.0, 1.0, 186.0, 186.0, van
88.0, 37.0, 63.0, 130.0, 58.0, 5.0, 125.0, 54.0, 18.0, 130.0, 141.0, 230.0, 145.0, 74.0, 14.0, 20.0, 184.0, 188.0, saab
106.0, 49.0, 106.0, 211.0, 64.0, 9.0, 208.0, 32.0, 24.0, 158.0, 224.0, 645.0, 184.0, 68.0, 1.0, 24.0, 190.0, 202.0, saab
93.0, 42.0, 70.0, 131.0, 56.0, 7.0, 127.0, 53.0, 18.0, 145.0, 156.0, 240.0, 152.0, 74.0, 5.0, 4.0, 189.0, 190.0, van
91.0, 45.0, 75.0, 154.0, 57.0, 6.0, 150.0, 44.0, 19.0, 146.0, 170.0, 335.0, 180.0, 66.0, 16.0, 2.0, 193.0, 198.0, opel
98.0, 39.0, 81.0, 191.0, 64.0, 9.0, 166.0, 40.0, 20.0, 138.0, 184.0, 415.0, 131.0, 62.0, 8.0, 19.0, 197.0, 205.0, saab
98.0, 54.0, 104.0, 186.0, 59.0, 10.0, 213.0, 32.0, 24.0, 172.0, 223.0, 665.0, 217.0, 73.0, 1.0, 26.0, 186.0, 195.0, opel
88.0, 40.0, 78.0, 186.0, 73.0, 6.0, 158.0, 41.0, 20.0, 134.0, 185.0, 379.0, 148.0, 73.0, 1.0, 11.0, 193.0, 197.0, bus
84.0, 35.0, 53.0, 122.0, 57.0, 4.0, 116.0, 59.0, 17.0, 123.0, 135.0, 196.0, 128.0, 76.0, 10.0, 27.0, 183.0, 190.0, saab
90.0, 36.0, 78.0, 179.0, 64.0, 8.0, 157.0, 42.0, 19.0, 126.0, 182.0, 367.0, 142.0, 66.0, 1.0, 20.0, 192.0, 198.0, opel
86.0, 43.0, 66.0, 130.0, 56.0, 7.0, 152.0, 44.0, 19.0, 142.0, 177.0, 340.0, 173.0, 81.0, 6.0, 14.0, 181.0, 185.0, bus
93.0, 47.0, 85.0, 163.0, 66.0, 11.0, 156.0, 44.0, 20.0, 158.0, 172.0, 355.0, 178.0, 74.0, 7.0, 15.0, 183.0, 195.0, van
101.0, 56.0, 100.0, 168.0, 55.0, 11.0, 214.0, 31.0, 24.0, 175.0, 219.0, 681.0, 224.0, 74.0, 2.0, 3.0, 185.0, 192.0, opel
94.0, 39.0, 89.0, 194.0, 62.0, 9.0, 172.0, 38.0, 21.0, 135.0, 191.0, 444.0, 121.0, 63.0, 4.0, 23.0, 201.0, 209.0, opel
90.0, 41.0, 71.0, 169.0, 68.0, 7.0, 150.0, 44.0, 19.0, 138.0, 175.0, 336.0, 157.0, 71.0, 3.0, 18.0, 192.0, 197.0, bus
104.0, 49.0, 89.0, 168.0, 54.0, 4.0, 212.0, 31.0, 24.0, 153.0, 238.0, 682.0, 198.0, 78.0, 1.0, 23.0, 190.0, 189.0, bus
88.0, 44.0, 85.0, 139.0, 56.0, 11.0, 157.0, 43.0, 20.0, 155.0, 176.0, 363.0, 175.0, 76.0, 5.0, 16.0, 184.0, 195.0, van
86.0, 41.0, 64.0, 148.0, 61.0, 5.0, 150.0, 45.0, 19.0, 138.0, 165.0, 333.0, 173.0, 80.0, 5.0, 8.0, 182.0, 185.0, saab
85.0, 33.0, 40.0, 115.0, 57.0, 3.0, 112.0, 61.0, 17.0, 119.0, 130.0, 184.0, 127.0, 86.0, 12.0, 21.0, 181.0, 183.0, saab
100.0, 55.0, 101.0, 189.0, 57.0, 10.0, 222.0, 30.0, 25.0, 177.0, 225.0, 731.0, 211.0, 71.0, 7.0, 17.0, 188.0, 197.0, opel
101.0, 55.0, 108.0, 228.0, 69.0, 12.0, 215.0, 31.0, 24.0, 168.0, 229.0, 684.0, 214.0, 71.0, 2.0, 16.0, 188.0, 199.0, saab
