@relation vehicle
@attribute Compactness integer [73, 119]
@attribute Circularity integer [33, 59]
@attribute Distance_circularity integer [40, 112]
@attribute Radius_ratio integer [104, 333]
@attribute Praxis_aspect_ratio integer [47, 138]
@attribute Max_length_aspect_ratio integer [2, 55]
@attribute Scatter_ratio integer [112, 265]
@attribute Elongatedness integer [26, 61]
@attribute Praxis_rectangular integer [17, 29]
@attribute Length_rectangular integer [118, 188]
@attribute Major_variance integer [130, 320]
@attribute Minor_variance integer [184, 1018]
@attribute Gyration_radius integer [109, 268]
@attribute Major_skewness integer [59, 135]
@attribute Minor_skewness integer [0, 22]
@attribute Minor_kurtosis integer [0, 41]
@attribute Major_kurtosis integer [176, 206]
@attribute Hollows_ratio integer [181, 211]
@attribute Class {van, saab, bus, opel}
@inputs Compactness, Circularity, Distance_circularity, Radius_ratio, Praxis_aspect_ratio, Max_length_aspect_ratio, Scatter_ratio, Elongatedness, Praxis_rectangular, Length_rectangular, Major_variance, Minor_variance, Gyration_radius, Major_skewness, Minor_skewness, Minor_kurtosis, Major_kurtosis, Hollows_ratio
@outputs Class
@data
91.0, 41.0, 84.0, 141.0, 57.0, 9.0, 149.0, 45.0, 19.0, 143.0, 170.0, 330.0, 158.0, 72.0, 9.0, 14.0, 189.0, 199.0, van
85.0, 44.0, 70.0, 205.0, 103.0, 52.0, 149.0, 45.0, 19.0, 144.0, 241.0, 325.0, 188.0, 127.0, 9.0, 11.0, 180.0, 183.0, bus
86.0, 36.0, 70.0, 143.0, 61.0, 9.0, 133.0, 50.0, 18.0, 130.0, 153.0, 266.0, 127.0, 66.0, 2.0, 10.0, 194.0, 202.0, van
90.0, 34.0, 66.0, 136.0, 55.0, 6.0, 123.0, 54.0, 17.0, 118.0, 148.0, 224.0, 118.0, 65.0, 5.0, 26.0, 196.0, 202.0, saab
87.0, 39.0, 70.0, 148.0, 61.0, 7.0, 143.0, 46.0, 18.0, 136.0, 164.0, 307.0, 141.0, 69.0, 1.0, 2.0, 192.0, 199.0, bus
99.0, 53.0, 105.0, 219.0, 66.0, 11.0, 204.0, 32.0, 23.0, 165.0, 221.0, 623.0, 224.0, 68.0, 0.0, 6.0, 191.0, 201.0, saab
81.0, 45.0, 68.0, 169.0, 73.0, 6.0, 151.0, 44.0, 19.0, 146.0, 173.0, 336.0, 186.0, 75.0, 7.0, 0.0, 183.0, 189.0, bus
88.0, 37.0, 51.0, 105.0, 52.0, 5.0, 119.0, 57.0, 17.0, 128.0, 135.0, 207.0, 125.0, 86.0, 8.0, 16.0, 179.0, 183.0, van
92.0, 38.0, 71.0, 174.0, 66.0, 7.0, 154.0, 43.0, 19.0, 133.0, 181.0, 355.0, 130.0, 70.0, 4.0, 24.0, 189.0, 195.0, saab
94.0, 36.0, 66.0, 151.0, 61.0, 8.0, 133.0, 50.0, 18.0, 135.0, 154.0, 265.0, 119.0, 62.0, 9.0, 3.0, 201.0, 208.0, van
97.0, 44.0, 96.0, 195.0, 63.0, 9.0, 185.0, 36.0, 22.0, 144.0, 202.0, 512.0, 165.0, 66.0, 4.0, 8.0, 191.0, 199.0, saab
77.0, 38.0, 63.0, 135.0, 59.0, 5.0, 130.0, 52.0, 18.0, 130.0, 145.0, 247.0, 139.0, 79.0, 13.0, 21.0, 183.0, 187.0, opel
93.0, 45.0, 86.0, 201.0, 69.0, 7.0, 184.0, 35.0, 22.0, 145.0, 203.0, 523.0, 183.0, 72.0, 0.0, 4.0, 194.0, 197.0, bus
89.0, 44.0, 68.0, 113.0, 50.0, 7.0, 150.0, 45.0, 19.0, 147.0, 171.0, 328.0, 189.0, 88.0, 6.0, 5.0, 179.0, 182.0, bus
89.0, 40.0, 76.0, 188.0, 76.0, 7.0, 150.0, 44.0, 19.0, 136.0, 174.0, 342.0, 148.0, 72.0, 3.0, 8.0, 193.0, 197.0, bus
89.0, 41.0, 84.0, 141.0, 58.0, 9.0, 149.0, 45.0, 19.0, 145.0, 172.0, 330.0, 162.0, 72.0, 4.0, 18.0, 188.0, 200.0, van
97.0, 50.0, 108.0, 211.0, 65.0, 10.0, 214.0, 31.0, 24.0, 156.0, 232.0, 683.0, 218.0, 72.0, 7.0, 29.0, 188.0, 197.0, opel
89.0, 42.0, 80.0, 151.0, 62.0, 6.0, 144.0, 46.0, 19.0, 139.0, 166.0, 308.0, 170.0, 74.0, 17.0, 13.0, 185.0, 189.0, saab
95.0, 42.0, 85.0, 174.0, 66.0, 9.0, 153.0, 44.0, 19.0, 144.0, 168.0, 347.0, 150.0, 65.0, 11.0, 5.0, 196.0, 204.0, van
94.0, 42.0, 68.0, 150.0, 64.0, 7.0, 128.0, 52.0, 18.0, 143.0, 154.0, 246.0, 159.0, 69.0, 14.0, 5.0, 192.0, 196.0, van
80.0, 44.0, 68.0, 135.0, 59.0, 8.0, 150.0, 45.0, 19.0, 145.0, 170.0, 329.0, 173.0, 80.0, 7.0, 12.0, 180.0, 185.0, bus
89.0, 40.0, 77.0, 159.0, 65.0, 9.0, 144.0, 46.0, 19.0, 141.0, 168.0, 314.0, 143.0, 70.0, 0.0, 5.0, 190.0, 200.0, van
88.0, 35.0, 50.0, 121.0, 58.0, 5.0, 114.0, 59.0, 17.0, 122.0, 132.0, 192.0, 138.0, 74.0, 21.0, 4.0, 182.0, 187.0, opel
95.0, 47.0, 88.0, 162.0, 64.0, 11.0, 159.0, 43.0, 20.0, 157.0, 176.0, 371.0, 185.0, 71.0, 12.0, 13.0, 189.0, 198.0, van
90.0, 48.0, 78.0, 142.0, 59.0, 11.0, 160.0, 43.0, 20.0, 160.0, 173.0, 370.0, 185.0, 76.0, 10.0, 11.0, 183.0, 192.0, van
90.0, 36.0, 57.0, 130.0, 57.0, 6.0, 121.0, 56.0, 17.0, 127.0, 137.0, 216.0, 132.0, 68.0, 22.0, 23.0, 190.0, 195.0, saab
86.0, 36.0, 77.0, 165.0, 60.0, 7.0, 150.0, 45.0, 19.0, 128.0, 174.0, 331.0, 131.0, 66.0, 0.0, 32.0, 196.0, 203.0, saab
102.0, 54.0, 100.0, 163.0, 53.0, 10.0, 213.0, 31.0, 24.0, 173.0, 219.0, 669.0, 201.0, 76.0, 12.0, 27.0, 187.0, 195.0, opel
91.0, 40.0, 76.0, 171.0, 67.0, 7.0, 149.0, 44.0, 19.0, 135.0, 169.0, 332.0, 144.0, 68.0, 4.0, 17.0, 192.0, 200.0, bus
90.0, 43.0, 72.0, 172.0, 59.0, 8.0, 154.0, 42.0, 19.0, 144.0, 174.0, 360.0, 158.0, 61.0, 15.0, 9.0, 203.0, 209.0, saab
93.0, 35.0, 72.0, 172.0, 62.0, 7.0, 149.0, 44.0, 19.0, 124.0, 169.0, 334.0, 125.0, 62.0, 5.0, 30.0, 203.0, 210.0, opel
85.0, 36.0, 78.0, 149.0, 55.0, 7.0, 147.0, 45.0, 19.0, 128.0, 168.0, 321.0, 134.0, 64.0, 10.0, 24.0, 197.0, 203.0, opel
85.0, 40.0, 72.0, 139.0, 59.0, 5.0, 132.0, 50.0, 18.0, 135.0, 159.0, 260.0, 150.0, 68.0, 3.0, 9.0, 191.0, 195.0, saab
108.0, 51.0, 103.0, 197.0, 60.0, 11.0, 211.0, 31.0, 24.0, 160.0, 222.0, 661.0, 187.0, 67.0, 7.0, 3.0, 190.0, 200.0, opel
106.0, 54.0, 103.0, 161.0, 47.0, 4.0, 247.0, 27.0, 27.0, 166.0, 266.0, 892.0, 242.0, 85.0, 4.0, 11.0, 181.0, 183.0, bus
96.0, 49.0, 98.0, 187.0, 59.0, 6.0, 213.0, 31.0, 24.0, 152.0, 228.0, 680.0, 210.0, 77.0, 8.0, 28.0, 188.0, 189.0, bus
89.0, 44.0, 72.0, 160.0, 66.0, 7.0, 144.0, 46.0, 19.0, 147.0, 166.0, 312.0, 169.0, 69.0, 11.0, 1.0, 191.0, 198.0, bus
78.0, 36.0, 60.0, 116.0, 56.0, 6.0, 123.0, 55.0, 17.0, 124.0, 141.0, 221.0, 121.0, 78.0, 3.0, 16.0, 178.0, 185.0, opel
103.0, 46.0, 106.0, 209.0, 66.0, 10.0, 203.0, 33.0, 23.0, 149.0, 217.0, 612.0, 210.0, 70.0, 9.0, 10.0, 191.0, 199.0, saab
91.0, 42.0, 81.0, 193.0, 69.0, 5.0, 169.0, 38.0, 20.0, 137.0, 184.0, 434.0, 156.0, 68.0, 3.0, 23.0, 198.0, 204.0, bus
98.0, 45.0, 76.0, 166.0, 60.0, 7.0, 157.0, 42.0, 20.0, 148.0, 184.0, 371.0, 186.0, 69.0, 13.0, 10.0, 190.0, 196.0, opel
93.0, 43.0, 76.0, 149.0, 57.0, 7.0, 149.0, 44.0, 19.0, 143.0, 172.0, 335.0, 176.0, 69.0, 14.0, 0.0, 189.0, 194.0, saab
82.0, 44.0, 72.0, 136.0, 61.0, 7.0, 147.0, 46.0, 19.0, 143.0, 173.0, 317.0, 183.0, 81.0, 6.0, 17.0, 181.0, 185.0, bus
111.0, 54.0, 103.0, 171.0, 50.0, 11.0, 221.0, 30.0, 25.0, 172.0, 227.0, 727.0, 201.0, 69.0, 15.0, 6.0, 190.0, 198.0, opel
103.0, 55.0, 100.0, 194.0, 62.0, 11.0, 212.0, 31.0, 24.0, 175.0, 217.0, 666.0, 219.0, 73.0, 10.0, 14.0, 187.0, 194.0, opel
87.0, 47.0, 81.0, 149.0, 62.0, 9.0, 147.0, 45.0, 19.0, 152.0, 171.0, 325.0, 181.0, 72.0, 0.0, 6.0, 188.0, 198.0, van
86.0, 46.0, 70.0, 149.0, 65.0, 8.0, 149.0, 45.0, 19.0, 146.0, 170.0, 331.0, 185.0, 77.0, 6.0, 6.0, 183.0, 188.0, bus
104.0, 57.0, 103.0, 216.0, 69.0, 11.0, 219.0, 30.0, 25.0, 176.0, 228.0, 708.0, 219.0, 73.0, 4.0, 3.0, 186.0, 196.0, opel
100.0, 50.0, 81.0, 197.0, 67.0, 6.0, 186.0, 34.0, 22.0, 158.0, 206.0, 531.0, 198.0, 74.0, 6.0, 1.0, 197.0, 198.0, bus
86.0, 41.0, 66.0, 133.0, 56.0, 6.0, 136.0, 49.0, 18.0, 136.0, 155.0, 274.0, 162.0, 74.0, 5.0, 14.0, 183.0, 189.0, saab
107.0, 54.0, 98.0, 210.0, 66.0, 11.0, 218.0, 31.0, 24.0, 169.0, 221.0, 704.0, 216.0, 71.0, 14.0, 0.0, 188.0, 197.0, saab
85.0, 35.0, 47.0, 110.0, 55.0, 3.0, 117.0, 57.0, 17.0, 122.0, 136.0, 203.0, 139.0, 89.0, 5.0, 9.0, 180.0, 184.0, van
93.0, 45.0, 73.0, 164.0, 59.0, 7.0, 159.0, 42.0, 20.0, 146.0, 182.0, 379.0, 188.0, 65.0, 11.0, 15.0, 195.0, 201.0, opel
91.0, 39.0, 83.0, 176.0, 59.0, 7.0, 169.0, 39.0, 20.0, 132.0, 190.0, 426.0, 142.0, 67.0, 0.0, 24.0, 192.0, 199.0, saab
104.0, 58.0, 103.0, 230.0, 69.0, 11.0, 219.0, 30.0, 25.0, 176.0, 231.0, 716.0, 246.0, 71.0, 7.0, 4.0, 187.0, 196.0, opel
84.0, 44.0, 80.0, 140.0, 58.0, 11.0, 156.0, 44.0, 20.0, 157.0, 166.0, 349.0, 176.0, 74.0, 5.0, 17.0, 183.0, 193.0, van
112.0, 50.0, 110.0, 186.0, 56.0, 11.0, 214.0, 31.0, 24.0, 159.0, 232.0, 676.0, 203.0, 71.0, 18.0, 27.0, 191.0, 202.0, saab
99.0, 48.0, 104.0, 196.0, 63.0, 10.0, 201.0, 33.0, 23.0, 152.0, 221.0, 604.0, 199.0, 73.0, 8.0, 4.0, 188.0, 197.0, saab
98.0, 58.0, 101.0, 208.0, 65.0, 12.0, 226.0, 30.0, 25.0, 182.0, 225.0, 748.0, 216.0, 71.0, 6.0, 1.0, 185.0, 196.0, opel
96.0, 45.0, 80.0, 162.0, 63.0, 9.0, 146.0, 46.0, 19.0, 148.0, 161.0, 316.0, 161.0, 64.0, 5.0, 10.0, 199.0, 207.0, van
100.0, 44.0, 93.0, 193.0, 62.0, 8.0, 186.0, 35.0, 22.0, 147.0, 202.0, 521.0, 151.0, 66.0, 0.0, 2.0, 193.0, 198.0, opel
86.0, 46.0, 73.0, 125.0, 57.0, 6.0, 151.0, 45.0, 19.0, 147.0, 170.0, 334.0, 188.0, 82.0, 9.0, 11.0, 180.0, 184.0, bus
91.0, 40.0, 98.0, 192.0, 64.0, 9.0, 177.0, 38.0, 21.0, 135.0, 194.0, 465.0, 165.0, 66.0, 9.0, 35.0, 195.0, 205.0, saab
93.0, 43.0, 78.0, 166.0, 59.0, 7.0, 151.0, 44.0, 19.0, 141.0, 182.0, 342.0, 174.0, 68.0, 15.0, 2.0, 193.0, 197.0, opel
86.0, 45.0, 73.0, 152.0, 63.0, 6.0, 149.0, 44.0, 19.0, 145.0, 170.0, 335.0, 176.0, 71.0, 6.0, 1.0, 189.0, 196.0, bus
90.0, 42.0, 63.0, 126.0, 55.0, 7.0, 152.0, 45.0, 19.0, 142.0, 173.0, 336.0, 173.0, 81.0, 0.0, 15.0, 180.0, 184.0, bus
95.0, 45.0, 105.0, 208.0, 64.0, 10.0, 187.0, 36.0, 22.0, 150.0, 202.0, 520.0, 158.0, 64.0, 7.0, 32.0, 198.0, 211.0, saab
102.0, 51.0, 92.0, 194.0, 60.0, 6.0, 220.0, 30.0, 25.0, 162.0, 247.0, 731.0, 209.0, 80.0, 7.0, 7.0, 188.0, 186.0, bus
99.0, 57.0, 109.0, 220.0, 66.0, 11.0, 221.0, 30.0, 25.0, 176.0, 234.0, 725.0, 236.0, 70.0, 10.0, 25.0, 188.0, 200.0, opel
83.0, 37.0, 54.0, 131.0, 61.0, 4.0, 135.0, 50.0, 18.0, 127.0, 152.0, 271.0, 141.0, 85.0, 3.0, 6.0, 180.0, 183.0, saab
99.0, 55.0, 101.0, 219.0, 68.0, 10.0, 224.0, 30.0, 25.0, 178.0, 228.0, 737.0, 213.0, 74.0, 11.0, 20.0, 187.0, 196.0, opel
95.0, 44.0, 84.0, 158.0, 62.0, 10.0, 145.0, 46.0, 19.0, 148.0, 163.0, 312.0, 166.0, 64.0, 10.0, 6.0, 199.0, 206.0, van
89.0, 40.0, 69.0, 147.0, 58.0, 6.0, 132.0, 50.0, 18.0, 137.0, 155.0, 260.0, 151.0, 61.0, 16.0, 6.0, 203.0, 209.0, opel
81.0, 47.0, 69.0, 146.0, 64.0, 6.0, 151.0, 44.0, 19.0, 147.0, 171.0, 340.0, 195.0, 75.0, 5.0, 0.0, 183.0, 188.0, bus
93.0, 42.0, 88.0, 188.0, 62.0, 10.0, 183.0, 36.0, 21.0, 141.0, 208.0, 504.0, 168.0, 70.0, 3.0, 12.0, 189.0, 197.0, opel
108.0, 54.0, 105.0, 203.0, 62.0, 11.0, 202.0, 33.0, 23.0, 164.0, 216.0, 608.0, 235.0, 68.0, 12.0, 3.0, 190.0, 200.0, saab
97.0, 45.0, 72.0, 187.0, 71.0, 5.0, 161.0, 40.0, 20.0, 144.0, 178.0, 399.0, 186.0, 70.0, 7.0, 7.0, 196.0, 203.0, bus
96.0, 47.0, 77.0, 204.0, 72.0, 6.0, 167.0, 38.0, 20.0, 150.0, 188.0, 429.0, 182.0, 69.0, 6.0, 16.0, 199.0, 203.0, bus
105.0, 56.0, 98.0, 209.0, 64.0, 11.0, 217.0, 31.0, 24.0, 173.0, 225.0, 696.0, 216.0, 72.0, 2.0, 19.0, 188.0, 199.0, opel
81.0, 46.0, 71.0, 141.0, 61.0, 7.0, 153.0, 44.0, 19.0, 148.0, 177.0, 347.0, 190.0, 80.0, 1.0, 14.0, 182.0, 187.0, bus
94.0, 49.0, 87.0, 159.0, 64.0, 10.0, 157.0, 43.0, 20.0, 158.0, 179.0, 363.0, 203.0, 75.0, 4.0, 0.0, 183.0, 194.0, van
86.0, 42.0, 65.0, 113.0, 50.0, 8.0, 152.0, 45.0, 19.0, 141.0, 169.0, 332.0, 171.0, 85.0, 4.0, 16.0, 179.0, 183.0, bus
87.0, 43.0, 70.0, 169.0, 72.0, 7.0, 152.0, 44.0, 19.0, 145.0, 177.0, 341.0, 171.0, 76.0, 6.0, 12.0, 184.0, 187.0, bus
90.0, 34.0, 66.0, 158.0, 59.0, 7.0, 140.0, 47.0, 18.0, 124.0, 165.0, 298.0, 117.0, 61.0, 1.0, 3.0, 201.0, 207.0, saab
104.0, 53.0, 108.0, 206.0, 61.0, 11.0, 217.0, 31.0, 24.0, 168.0, 226.0, 694.0, 209.0, 67.0, 0.0, 9.0, 188.0, 201.0, saab
102.0, 53.0, 101.0, 238.0, 72.0, 4.0, 238.0, 28.0, 26.0, 163.0, 267.0, 844.0, 242.0, 85.0, 7.0, 22.0, 184.0, 184.0, bus
95.0, 57.0, 104.0, 228.0, 74.0, 10.0, 212.0, 31.0, 24.0, 175.0, 224.0, 670.0, 223.0, 74.0, 0.0, 4.0, 186.0, 193.0, opel
101.0, 53.0, 91.0, 194.0, 65.0, 6.0, 204.0, 32.0, 23.0, 161.0, 231.0, 636.0, 214.0, 78.0, 5.0, 14.0, 192.0, 192.0, bus
106.0, 52.0, 101.0, 213.0, 64.0, 11.0, 201.0, 33.0, 23.0, 158.0, 214.0, 607.0, 204.0, 65.0, 2.0, 4.0, 192.0, 204.0, saab
92.0, 43.0, 70.0, 124.0, 52.0, 6.0, 139.0, 49.0, 18.0, 144.0, 164.0, 282.0, 172.0, 79.0, 4.0, 16.0, 183.0, 185.0, van
103.0, 57.0, 105.0, 221.0, 69.0, 11.0, 218.0, 30.0, 24.0, 173.0, 226.0, 706.0, 250.0, 73.0, 10.0, 2.0, 187.0, 195.0, opel
90.0, 41.0, 62.0, 147.0, 60.0, 6.0, 128.0, 52.0, 18.0, 141.0, 149.0, 246.0, 157.0, 61.0, 13.0, 4.0, 201.0, 208.0, van
107.0, 56.0, 105.0, 202.0, 61.0, 11.0, 221.0, 30.0, 25.0, 179.0, 234.0, 725.0, 212.0, 72.0, 15.0, 1.0, 189.0, 196.0, opel
86.0, 42.0, 64.0, 122.0, 54.0, 6.0, 148.0, 46.0, 19.0, 143.0, 170.0, 319.0, 171.0, 87.0, 1.0, 3.0, 179.0, 182.0, bus
83.0, 46.0, 71.0, 156.0, 70.0, 6.0, 151.0, 44.0, 19.0, 147.0, 174.0, 338.0, 198.0, 80.0, 3.0, 11.0, 181.0, 186.0, bus
82.0, 39.0, 86.0, 140.0, 54.0, 7.0, 153.0, 45.0, 19.0, 134.0, 174.0, 338.0, 139.0, 71.0, 11.0, 18.0, 183.0, 189.0, opel
102.0, 51.0, 108.0, 193.0, 57.0, 10.0, 212.0, 31.0, 24.0, 162.0, 219.0, 663.0, 184.0, 66.0, 7.0, 21.0, 191.0, 201.0, opel
94.0, 43.0, 82.0, 136.0, 54.0, 10.0, 155.0, 43.0, 19.0, 149.0, 176.0, 359.0, 161.0, 74.0, 1.0, 6.0, 186.0, 197.0, van
105.0, 54.0, 96.0, 185.0, 57.0, 10.0, 219.0, 30.0, 25.0, 170.0, 231.0, 706.0, 217.0, 75.0, 5.0, 12.0, 187.0, 195.0, opel
93.0, 35.0, 78.0, 162.0, 60.0, 8.0, 150.0, 45.0, 19.0, 125.0, 172.0, 331.0, 137.0, 67.0, 2.0, 33.0, 191.0, 198.0, opel
76.0, 38.0, 58.0, 125.0, 58.0, 5.0, 133.0, 51.0, 18.0, 127.0, 152.0, 259.0, 145.0, 87.0, 0.0, 21.0, 177.0, 184.0, opel
89.0, 36.0, 69.0, 162.0, 63.0, 6.0, 140.0, 48.0, 18.0, 131.0, 164.0, 291.0, 126.0, 66.0, 1.0, 38.0, 193.0, 204.0, saab
90.0, 43.0, 81.0, 231.0, 97.0, 46.0, 150.0, 45.0, 19.0, 149.0, 200.0, 332.0, 164.0, 91.0, 5.0, 9.0, 186.0, 196.0, van
105.0, 52.0, 107.0, 207.0, 60.0, 11.0, 218.0, 31.0, 24.0, 167.0, 221.0, 701.0, 197.0, 66.0, 0.0, 20.0, 191.0, 203.0, opel
92.0, 45.0, 76.0, 162.0, 57.0, 7.0, 159.0, 41.0, 20.0, 147.0, 184.0, 381.0, 177.0, 69.0, 8.0, 10.0, 190.0, 195.0, saab
88.0, 48.0, 90.0, 178.0, 60.0, 8.0, 175.0, 38.0, 21.0, 152.0, 200.0, 460.0, 198.0, 68.0, 13.0, 16.0, 192.0, 199.0, saab
107.0, 55.0, 103.0, 167.0, 49.0, 7.0, 252.0, 27.0, 28.0, 172.0, 269.0, 904.0, 239.0, 83.0, 5.0, 30.0, 179.0, 186.0, bus
86.0, 40.0, 66.0, 139.0, 59.0, 7.0, 122.0, 54.0, 17.0, 139.0, 145.0, 225.0, 143.0, 63.0, 7.0, 11.0, 202.0, 208.0, van
93.0, 39.0, 86.0, 180.0, 59.0, 9.0, 167.0, 39.0, 20.0, 134.0, 186.0, 418.0, 129.0, 63.0, 6.0, 17.0, 197.0, 204.0, saab
88.0, 44.0, 84.0, 135.0, 55.0, 12.0, 155.0, 44.0, 20.0, 158.0, 176.0, 351.0, 164.0, 75.0, 7.0, 11.0, 183.0, 195.0, van
79.0, 39.0, 72.0, 127.0, 53.0, 9.0, 142.0, 48.0, 19.0, 135.0, 165.0, 295.0, 144.0, 77.0, 7.0, 21.0, 181.0, 189.0, opel
87.0, 49.0, 86.0, 190.0, 64.0, 9.0, 177.0, 37.0, 21.0, 153.0, 197.0, 471.0, 209.0, 67.0, 11.0, 7.0, 192.0, 199.0, opel
86.0, 40.0, 66.0, 138.0, 59.0, 4.0, 137.0, 49.0, 18.0, 133.0, 162.0, 279.0, 151.0, 74.0, 6.0, 14.0, 186.0, 190.0, saab
101.0, 56.0, 101.0, 231.0, 72.0, 10.0, 217.0, 31.0, 24.0, 171.0, 232.0, 698.0, 216.0, 72.0, 2.0, 6.0, 187.0, 197.0, saab
98.0, 35.0, 70.0, 182.0, 68.0, 5.0, 155.0, 41.0, 19.0, 124.0, 184.0, 371.0, 117.0, 71.0, 3.0, 22.0, 202.0, 205.0, bus
108.0, 54.0, 103.0, 212.0, 65.0, 11.0, 208.0, 32.0, 24.0, 162.0, 228.0, 648.0, 240.0, 71.0, 9.0, 0.0, 189.0, 197.0, saab
89.0, 36.0, 68.0, 141.0, 59.0, 8.0, 139.0, 47.0, 18.0, 130.0, 166.0, 291.0, 127.0, 73.0, 7.0, 1.0, 189.0, 196.0, van
89.0, 50.0, 83.0, 195.0, 65.0, 6.0, 178.0, 37.0, 21.0, 156.0, 207.0, 481.0, 210.0, 71.0, 1.0, 6.0, 189.0, 194.0, opel
100.0, 51.0, 109.0, 231.0, 70.0, 11.0, 220.0, 30.0, 25.0, 163.0, 238.0, 722.0, 206.0, 73.0, 11.0, 19.0, 189.0, 198.0, opel
88.0, 40.0, 79.0, 183.0, 62.0, 7.0, 176.0, 38.0, 21.0, 138.0, 200.0, 462.0, 150.0, 66.0, 0.0, 29.0, 189.0, 199.0, opel
97.0, 53.0, 105.0, 225.0, 71.0, 12.0, 221.0, 30.0, 25.0, 167.0, 226.0, 713.0, 202.0, 70.0, 3.0, 20.0, 186.0, 200.0, saab
103.0, 56.0, 105.0, 183.0, 59.0, 10.0, 210.0, 32.0, 24.0, 173.0, 217.0, 648.0, 218.0, 72.0, 13.0, 22.0, 188.0, 196.0, opel
90.0, 49.0, 85.0, 141.0, 57.0, 11.0, 159.0, 43.0, 20.0, 167.0, 173.0, 365.0, 186.0, 75.0, 1.0, 11.0, 182.0, 192.0, van
97.0, 55.0, 96.0, 170.0, 54.0, 10.0, 216.0, 31.0, 24.0, 173.0, 219.0, 685.0, 218.0, 75.0, 0.0, 4.0, 184.0, 193.0, opel
108.0, 56.0, 103.0, 234.0, 73.0, 10.0, 221.0, 30.0, 25.0, 174.0, 232.0, 718.0, 214.0, 73.0, 8.0, 3.0, 187.0, 197.0, saab
96.0, 40.0, 100.0, 178.0, 58.0, 8.0, 181.0, 37.0, 21.0, 134.0, 205.0, 486.0, 160.0, 68.0, 5.0, 34.0, 192.0, 202.0, saab
106.0, 52.0, 108.0, 207.0, 64.0, 12.0, 221.0, 31.0, 25.0, 168.0, 229.0, 709.0, 200.0, 73.0, 22.0, 38.0, 190.0, 205.0, saab
104.0, 53.0, 101.0, 190.0, 63.0, 10.0, 213.0, 32.0, 24.0, 166.0, 218.0, 664.0, 202.0, 74.0, 13.0, 21.0, 188.0, 198.0, saab
84.0, 43.0, 76.0, 180.0, 75.0, 7.0, 155.0, 43.0, 19.0, 143.0, 180.0, 359.0, 173.0, 77.0, 5.0, 12.0, 185.0, 190.0, bus
86.0, 44.0, 77.0, 155.0, 60.0, 7.0, 152.0, 44.0, 19.0, 141.0, 174.0, 345.0, 161.0, 72.0, 9.0, 0.0, 187.0, 192.0, opel
85.0, 38.0, 75.0, 132.0, 54.0, 7.0, 147.0, 46.0, 19.0, 131.0, 171.0, 318.0, 145.0, 75.0, 7.0, 25.0, 183.0, 188.0, saab
84.0, 42.0, 76.0, 156.0, 64.0, 7.0, 151.0, 44.0, 19.0, 143.0, 179.0, 339.0, 157.0, 75.0, 0.0, 20.0, 187.0, 193.0, bus
89.0, 45.0, 85.0, 149.0, 59.0, 11.0, 158.0, 43.0, 20.0, 158.0, 177.0, 362.0, 173.0, 75.0, 12.0, 16.0, 183.0, 193.0, van
95.0, 51.0, 96.0, 196.0, 63.0, 9.0, 190.0, 35.0, 22.0, 161.0, 208.0, 543.0, 235.0, 68.0, 13.0, 0.0, 191.0, 198.0, opel
100.0, 58.0, 109.0, 230.0, 70.0, 11.0, 226.0, 30.0, 25.0, 182.0, 234.0, 752.0, 207.0, 72.0, 0.0, 13.0, 187.0, 198.0, opel
105.0, 51.0, 80.0, 207.0, 71.0, 6.0, 195.0, 33.0, 22.0, 159.0, 214.0, 579.0, 188.0, 75.0, 6.0, 20.0, 194.0, 194.0, bus
86.0, 45.0, 70.0, 122.0, 56.0, 7.0, 148.0, 45.0, 19.0, 144.0, 170.0, 324.0, 186.0, 84.0, 9.0, 5.0, 180.0, 183.0, bus
90.0, 46.0, 73.0, 137.0, 58.0, 11.0, 161.0, 43.0, 20.0, 158.0, 170.0, 373.0, 186.0, 76.0, 0.0, 9.0, 182.0, 193.0, van
106.0, 57.0, 107.0, 235.0, 67.0, 6.0, 262.0, 26.0, 28.0, 171.0, 285.0, 987.0, 260.0, 86.0, 9.0, 31.0, 180.0, 184.0, bus
92.0, 41.0, 66.0, 125.0, 52.0, 7.0, 139.0, 50.0, 18.0, 143.0, 160.0, 275.0, 161.0, 81.0, 7.0, 19.0, 182.0, 184.0, van
83.0, 42.0, 71.0, 152.0, 64.0, 7.0, 149.0, 45.0, 19.0, 142.0, 172.0, 331.0, 158.0, 74.0, 2.0, 2.0, 184.0, 190.0, bus
92.0, 35.0, 58.0, 136.0, 58.0, 6.0, 122.0, 55.0, 17.0, 132.0, 142.0, 222.0, 116.0, 64.0, 6.0, 17.0, 197.0, 203.0, van
94.0, 49.0, 82.0, 137.0, 56.0, 10.0, 159.0, 43.0, 20.0, 160.0, 176.0, 367.0, 186.0, 76.0, 10.0, 7.0, 183.0, 192.0, van
95.0, 42.0, 96.0, 197.0, 65.0, 9.0, 178.0, 37.0, 21.0, 141.0, 199.0, 474.0, 149.0, 67.0, 1.0, 29.0, 193.0, 200.0, opel
94.0, 45.0, 85.0, 163.0, 68.0, 10.0, 157.0, 44.0, 20.0, 156.0, 170.0, 357.0, 176.0, 73.0, 17.0, 11.0, 187.0, 195.0, van
