@relation ionosphere
@attribute Pulse1 integer [0, 1]
@attribute Pulse3 real [-1.0, 1.0]
@attribute Pulse4 real [-1.0, 1.0]
@attribute Pulse5 real [-1.0, 1.0]
@attribute Pulse6 real [-1.0, 1.0]
@attribute Pulse7 real [-1.0, 1.0]
@attribute Pulse8 real [-1.0, 1.0]
@attribute Pulse9 real [-1.0, 1.0]
@attribute Pulse10 real [-1.0, 1.0]
@attribute Pulse11 real [-1.0, 1.0]
@attribute Pulse12 real [-1.0, 1.0]
@attribute Pulse13 real [-1.0, 1.0]
@attribute Pulse14 real [-1.0, 1.0]
@attribute Pulse15 real [-1.0, 1.0]
@attribute Pulse16 real [-1.0, 1.0]
@attribute Pulse17 real [-1.0, 1.0]
@attribute Pulse18 real [-1.0, 1.0]
@attribute Pulse19 real [-1.0, 1.0]
@attribute Pulse20 real [-1.0, 1.0]
@attribute Pulse21 real [-1.0, 1.0]
@attribute Pulse22 real [-1.0, 1.0]
@attribute Pulse23 real [-1.0, 1.0]
@attribute Pulse24 real [-1.0, 1.0]
@attribute Pulse25 real [-1.0, 1.0]
@attribute Pulse26 real [-1.0, 1.0]
@attribute Pulse27 real [-1.0, 1.0]
@attribute Pulse28 real [-1.0, 1.0]
@attribute Pulse29 real [-1.0, 1.0]
@attribute Pulse30 real [-1.0, 1.0]
@attribute Pulse31 real [-1.0, 1.0]
@attribute Pulse32 real [-1.0, 1.0]
@attribute Pulse33 real [-1.0, 1.0]
@attribute Pulse34 real [-1.0, 1.0]
@attribute Class {g, b}
@inputs Pulse1, Pulse3, Pulse4, Pulse5, Pulse6, Pulse7, Pulse8, Pulse9, Pulse10, Pulse11, Pulse12, Pulse13, Pulse14, Pulse15, Pulse16, Pulse17, Pulse18, Pulse19, Pulse20, Pulse21, Pulse22, Pulse23, Pulse24, Pulse25, Pulse26, Pulse27, Pulse28, Pulse29, Pulse30, Pulse31, Pulse32, Pulse33, Pulse34
@outputs Class
@data
1, 0.995, -0.059, 0.852, 0.023, 0.834, -0.377, 1.0, 0.038, 0.852, -0.178, 0.598, -0.449, 0.605, -0.382, 0.844, -0.385, 0.582, -0.322, 0.57, -0.297, 0.369, -0.474, 0.568, -0.512, 0.411, -0.462, 0.213, -0.341, 0.423, -0.545, 0.186, -0.453, g
1, 1.0, -0.188, 0.93, -0.362, -0.109, -0.936, 1.0, -0.045, 0.509, -0.677, 0.344, -0.697, -0.517, -0.975, 0.055, -0.622, 0.331, -1.0, -0.132, -0.453, -0.181, -0.357, -0.203, -0.266, -0.205, -0.184, -0.19, -0.116, -0.166, -0.063, -0.137, -0.024, b
1, 0.964, -0.072, 1.0, -0.143, 1.0, -0.213, 1.0, -0.362, 0.926, -0.436, 0.945, -0.407, 0.904, -0.464, 0.983, -0.353, 0.845, -0.66, 0.753, -0.606, 0.696, -0.642, 0.851, -0.654, 0.576, -0.697, 0.254, -0.639, 0.451, -0.728, 0.389, -0.734, g
1, 1.0, -0.542, 1.0, -1.0, 1.0, -1.0, 1.0, 0.362, 1.0, -0.411, 1.0, 1.0, 1.0, -1.0, 1.0, -0.294, 1.0, -0.936, 1.0, 1.0, 1.0, 1.0, 1.0, -0.409, 1.0, -0.627, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, b
1, 0.509, -0.94, 1.0, 0.267, -0.035, -1.0, 1.0, -1.0, 0.437, -1.0, 0.0, 0.0, -1.0, -0.343, -0.377, 0.036, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -0.163, 0.922, 0.398, 0.265, 0.0, 0.0, 1.0, 0.232, 0.0, 0.0, b
0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 0.0, 0.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0, b
1, 1.0, -0.087, 1.0, -0.173, 0.866, -0.818, 0.948, 0.611, 0.955, -0.414, 0.885, -0.317, 0.879, -0.234, 0.811, -0.622, 0.122, -1.0, 0.903, 0.111, 0.624, -0.785, 0.554, -0.829, 0.481, -0.866, 0.406, -0.897, 0.33, -0.921, -0.133, -1.0, g
1, 1.0, -0.142, 1.0, -0.163, 1.0, -0.237, 1.0, -0.075, 1.0, -0.25, 1.0, -0.262, 1.0, -0.22, 1.0, -0.386, 1.0, -0.462, 1.0, -0.355, 1.0, -0.597, 1.0, -0.476, 0.988, -0.497, 1.0, -0.758, 1.0, -0.758, 1.0, -0.844, g
1, 0.909, 0.088, 0.865, 0.169, 1.0, 0.166, 0.552, 0.682, 0.702, 0.367, 0.163, 0.427, 0.576, 0.461, 0.511, 0.496, 0.316, 0.13, 0.378, 0.545, 0.313, 0.558, 0.249, 0.565, 0.186, 0.566, 0.126, 0.561, 0.069, 0.551, 0.121, 0.677, g
1, 0.99, -0.058, 0.998, -0.13, 0.987, -0.194, 0.994, -0.258, 0.927, -0.301, 0.927, -0.38, 0.898, -0.438, 0.849, -0.521, 0.874, -0.571, 0.79, -0.598, 0.747, -0.646, 0.683, -0.685, 0.652, -0.732, 0.61, -0.754, 0.548, -0.803, 0.492, -0.832, g
1, 0.0, 0.0, 1.0, 0.517, 0.0, 0.0, 0.11, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -0.224, -0.557, -0.833, 0.769, 0.631, 0.0, 0.0, 0.534, 0.357, -0.903, 0.448, 1.0, -1.0, -1.0, 0.816, 0.0, 0.0, 0.0, 0.0, b
1, 1.0, 0.28, 1.0, 0.025, 1.0, 0.078, 1.0, 0.043, 0.988, 0.333, 1.0, 0.055, 1.0, 0.044, 0.958, -0.246, 0.844, -0.087, 1.0, 0.042, 0.999, 0.274, 1.0, -0.391, 0.964, -0.022, 0.867, 0.234, 0.946, -0.22, 0.804, -0.073, g
0, 1.0, 1.0, 0.0, 0.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 0.0, 0.0, 1.0, -1.0, b
1, 1.0, 0.041, 1.0, 0.12, 1.0, 0.162, 1.0, 0.279, 0.987, 0.309, 0.927, 0.376, 0.911, 0.397, 0.819, 0.461, 0.786, 0.47, 0.794, 0.563, 0.703, 0.581, 0.671, 0.597, 0.589, 0.61, 0.54, 0.609, 0.453, 0.636, 0.404, 0.627, g
