@relation ionosphere
@attribute Pulse1 integer [0, 1]
@attribute Pulse3 real [-1.0, 1.0]
@attribute Pulse4 real [-1.0, 1.0]
@attribute Pulse5 real [-1.0, 1.0]
@attribute Pulse6 real [-1.0, 1.0]
@attribute Pulse7 real [-1.0, 1.0]
@attribute Pulse8 real [-1.0, 1.0]
@attribute Pulse9 real [-1.0, 1.0]
@attribute Pulse10 real [-1.0, 1.0]
@attribute Pulse11 real [-1.0, 1.0]
@attribute Pulse12 real [-1.0, 1.0]
@attribute Pulse13 real [-1.0, 1.0]
@attribute Pulse14 real [-1.0, 1.0]
@attribute Pulse15 real [-1.0, 1.0]
@attribute Pulse16 real [-1.0, 1.0]
@attribute Pulse17 real [-1.0, 1.0]
@attribute Pulse18 real [-1.0, 1.0]
@attribute Pulse19 real [-1.0, 1.0]
@attribute Pulse20 real [-1.0, 1.0]
@attribute Pulse21 real [-1.0, 1.0]
@attribute Pulse22 real [-1.0, 1.0]
@attribute Pulse23 real [-1.0, 1.0]
@attribute Pulse24 real [-1.0, 1.0]
@attribute Pulse25 real [-1.0, 1.0]
@attribute Pulse26 real [-1.0, 1.0]
@attribute Pulse27 real [-1.0, 1.0]
@attribute Pulse28 real [-1.0, 1.0]
@attribute Pulse29 real [-1.0, 1.0]
@attribute Pulse30 real [-1.0, 1.0]
@attribute Pulse31 real [-1.0, 1.0]
@attribute Pulse32 real [-1.0, 1.0]
@attribute Pulse33 real [-1.0, 1.0]
@attribute Pulse34 real [-1.0, 1.0]
@attribute Class {g, b}
@inputs Pulse1, Pulse3, Pulse4, Pulse5, Pulse6, Pulse7, Pulse8, Pulse9, Pulse10, Pulse11, Pulse12, Pulse13, Pulse14, Pulse15, Pulse16, Pulse17, Pulse18, Pulse19, Pulse20, Pulse21, Pulse22, Pulse23, Pulse24, Pulse25, Pulse26, Pulse27, Pulse28, Pulse29, Pulse30, Pulse31, Pulse32, Pulse33, Pulse34
@outputs Class
@data
1, 1.0, -0.452, 1.0, 1.0, 0.712, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.145, 0.541, -0.393, -1.0, -0.545, -0.7, 1.0, 0.0, 0.0, 1.0, 0.907, 0.516, 1.0, 1.0, -0.201, 0.257, 1.0, -0.324, 1.0, b
1, 1.0, -0.024, 0.941, 0.065, 0.921, -0.233, 0.772, -0.164, 0.528, -0.203, 0.564, -0.0070, 0.344, -0.275, 0.529, -0.218, 0.451, -0.178, 0.06, -0.356, 0.023, -0.529, 0.033, -0.652, 0.133, -0.532, 0.024, -0.622, -0.057, -0.596, -0.046, -0.657, g
1, -0.019, -0.085, 0.0, 0.0, 0.0, 0.0, 0.115, -0.268, -0.457, -0.382, 0.0, 0.0, -0.337, 0.386, -0.371, 0.15, 0.637, 0.221, 0.0, 0.0, 0.0, 0.0, -0.148, -0.013, 0.206, -0.023, 0.0, 0.0, 0.166, 0.241, -0.082, 0.381, b
1, 1.0, -0.163, 1.0, -0.102, 1.0, -0.152, 1.0, -0.193, 0.941, -0.352, 0.957, -0.298, 0.937, -0.344, 0.945, -0.281, 0.901, -0.434, 0.86, -0.473, 0.83, -0.512, 0.841, -0.471, 0.762, -0.584, 0.657, -0.688, 0.687, -0.645, 0.647, -0.672, g
0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, b
0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, b
1, 1.0, -0.159, 0.723, 0.277, 0.834, -0.584, 1.0, -0.282, 1.0, -0.499, 0.8, -0.125, 0.768, 0.146, 1.0, 0.393, 1.0, 0.266, 0.964, -0.019, 0.926, -0.913, 1.0, 0.148, 1.0, -0.116, 1.0, -0.111, 1.0, 0.534, 1.0, -0.578, g
1, 0.662, -1.0, 1.0, 1.0, 1.0, -0.673, 0.809, -0.404, 1.0, -1.0, 1.0, -0.894, 1.0, 0.734, 0.176, 0.71, 1.0, 0.78, 1.0, 0.853, 1.0, -1.0, 1.0, 0.854, 1.0, -0.086, 0.96, -0.362, 1.0, 0.653, 1.0, 0.347, b
0, 1.0, 1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 0.0, 0.0, b
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -0.375, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 0.0, 0.0, 0.0, b
1, 0.841, -0.184, 0.436, 0.029, 0.934, -0.0030, 0.879, 0.138, 0.811, -0.018, 0.886, 0.55, 0.917, -0.575, 0.75, -0.295, 0.867, -0.201, 1.0, 1.0, 0.466, -0.163, 0.901, -0.028, 0.934, -0.012, 0.616, -0.323, 0.845, -0.257, 0.933, -0.014, g
1, 0.848, 0.106, 1.0, 0.391, 1.0, -1.0, 0.669, 0.084, 1.0, 0.27, 1.0, 0.606, 1.0, 0.355, 1.0, 0.027, 0.584, -0.43, 1.0, 0.635, 0.891, 0.266, 0.91, -0.333, 1.0, 0.159, 0.377, -0.019, 1.0, 0.225, 1.0, 0.374, b
1, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.0, 0.0, 1.0, -1.0, 1.0, -1.0, b
0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, b
1, 0.792, 0.169, 0.0, 0.0, 0.565, 0.069, 0.395, 1.0, 0.384, 0.996, -0.024, 0.532, 0.237, 0.129, -0.027, 0.951, -0.51, 0.849, -0.102, 0.388, -0.426, 0.237, -0.916, 0.807, -0.341, 0.882, -1.0, 0.694, -1.0, 0.129, 0.0, 0.0, b
1, 1.0, -0.572, 0.992, -0.734, 0.895, -0.974, 1.0, -0.358, 1.0, -0.232, 0.629, -0.864, 1.0, -0.575, 1.0, -0.796, 0.768, -0.89, 0.966, -1.0, 0.701, -0.749, 0.619, -0.769, 0.538, -0.78, 0.81, -1.0, 1.0, -1.0, 0.304, -0.761, g
1, 0.659, -0.629, 0.0, 0.0, 0.0, 0.0, 0.773, 1.0, 1.0, -0.28, 0.0, 0.0, 0.0, 0.0, 0.621, -0.227, 0.841, -1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.939, -0.129, -0.932, 0.0, 0.0, 0.0, 0.0, b
1, 0.214, -0.095, 0.333, 0.071, 0.19, 0.19, 0.238, 0.095, 0.405, 0.024, 0.31, -0.048, 0.31, -0.048, 0.286, -0.119, 0.333, 0.048, 0.31, 0.0, 0.214, -0.119, 0.357, -0.048, 0.221, -0.023, 0.19, 0.0, 0.17, -0.02, 0.147, -0.019, g
1, 0.982, 0.0, 0.886, 0.031, 0.862, 0.046, 0.8, 0.0, 0.691, 0.045, 0.793, 0.084, 0.771, 0.096, 0.627, 0.255, 0.682, 0.127, 0.707, 0.126, 0.686, 0.135, 0.745, 0.227, 0.646, 0.151, 0.673, 0.027, 0.607, 0.165, 0.588, 0.171, g
1, 0.952, 0.066, 0.936, 0.13, 0.91, 0.192, 0.849, -0.5, 0.9, 0.613, 0.779, 0.343, 0.723, 0.38, 0.661, 0.408, 0.955, 0.599, 0.533, 0.441, 0.468, 0.445, 0.404, 0.442, 0.344, 0.432, 0.903, 1.0, 0.234, 0.396, 0.186, 0.372, g
1, 0.598, 0.403, 0.828, 0.805, 0.76, 0.707, 0.84, -0.11, 0.973, 0.08, 0.958, -0.857, 0.92, 0.884, 0.955, -0.052, 0.887, 0.181, 0.985, -0.696, 0.867, -0.858, 0.286, -0.301, 1.0, 0.171, 0.63, 0.427, 0.878, 0.81, 0.82, 0.688, b
1, 0.969, 0.0090, 1.0, 0.0080, 0.987, -0.0080, 0.979, -0.028, 0.998, -0.035, 1.0, -0.013, 1.0, -0.026, 1.0, -0.012, 0.985, 0.0, 1.0, -0.026, 1.0, -0.047, 0.96, -0.045, 0.992, -0.035, 0.97, -0.025, 1.0, -0.039, 0.984, -0.041, g
1, 0.347, 0.204, 0.469, 0.245, 0.408, 0.204, 0.469, 0.449, 0.306, 0.592, 0.122, 0.551, 0.0, 0.51, -0.061, 0.551, -0.204, 0.551, -0.286, 0.449, -0.286, 0.327, -0.612, 0.224, -0.466, 0.149, -0.592, 0.184, -0.347, 0.0, -0.265, -0.245, g
1, 0.897, 0.382, 0.912, 0.375, 0.743, 0.676, 0.456, 0.779, 0.191, 0.89, -0.022, 0.86, -0.206, 0.824, -0.375, 0.676, -0.5, 0.478, -0.735, 0.382, -0.86, 0.088, -0.743, -0.125, -0.679, -0.241, -0.551, -0.426, -0.441, -0.507, -0.287, -0.566, g
1, 0.952, 0.023, 0.938, -0.013, 0.935, 0.012, 0.967, -0.017, 0.969, 0.0050, 0.957, -0.031, 0.953, -0.0040, 0.995, -0.027, 0.998, 0.018, 0.936, -0.05, 0.938, -0.024, 0.971, -0.045, 0.962, -0.016, 0.974, 0.019, 0.954, -0.034, 0.958, 0.0080, g
1, 0.31, -0.103, 0.241, -0.103, 0.207, -0.069, 0.074, -0.054, 0.036, -0.037, 0.017, -0.024, 0.0070, -0.015, 0.0030, -0.0090, 0.0010, -0.0050, -0.0, -0.0030, -0.0, -0.0020, -0.0, -0.0010, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, g
1, 1.0, -0.011, 1.0, -0.027, 1.0, -0.065, 0.951, -0.016, 0.989, -0.032, 0.989, 0.086, 1.0, -0.065, 0.951, 0.092, 0.978, -0.0050, 1.0, 0.065, 1.0, 0.043, 0.978, 0.092, 0.986, 0.013, 1.0, -0.032, 1.0, 0.027, 1.0, -0.07, g
1, 0.724, -0.011, 0.797, 0.011, 0.8, 0.0020, 0.79, 0.011, 0.784, -0.01, 0.834, 0.033, 0.851, 0.017, 0.801, -0.0080, 0.791, -0.03, 0.76, 0.034, 0.748, 0.055, 0.726, -0.015, 0.78, 0.0060, 0.741, -0.05, 0.83, 0.03, 0.79, 0.0080, g
1, 0.471, 0.228, 0.423, 0.336, 0.257, 0.476, 0.019, 0.495, -0.021, 0.54, -0.341, 0.312, -0.413, 0.325, -0.516, 0.069, -0.5, -0.116, -0.148, -0.146, -0.148, -0.381, -0.233, 0.0030, 0.036, -0.317, 0.159, -0.217, 0.249, -0.243, 0.267, 0.042, g
1, 0.852, 0.393, 0.389, 0.764, 0.089, 0.989, -0.426, 0.887, -0.762, 0.5, -0.931, 0.108, -0.859, -0.31, -0.66, -0.553, -0.193, -0.861, 0.284, -0.805, 0.646, -0.352, 0.778, -0.233, 0.717, 0.213, 0.378, 0.583, 0.197, 0.663, -0.112, 0.649, g
1, 0.0, 0.0, -1.0, -1.0, -1.0, 1.0, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, 1.0, 1.0, 0.438, 1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, 1.0, b
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, b
