@relation unknow
@attribute age real [29.0, 77.0]
@attribute sex real [0.0, 1.0]
@attribute cp real [1.0, 4.0]
@attribute trestbps real [94.0, 200.0]
@attribute chol real [126.0, 564.0]
@attribute fbs real [0.0, 1.0]
@attribute restecg real [0.0, 2.0]
@attribute thalach real [71.0, 202.0]
@attribute exang real [0.0, 1.0]
@attribute oldpeak real [0.0, 6.2]
@attribute slope real [1.0, 3.0]
@attribute ca real [0.0, 3.0]
@attribute thal real [3.0, 7.0]
@attribute num {0, 1, 2, 3, 4}
@inputs age, sex, cp, trestbps, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal
@outputs num
@data
63.0, 1.0, 1.0, 145.0, 233.0, 1.0, 2.0, 150.0, 0.0, 2.3, 3.0, 0.0, 6.0, 0
41.0, 0.0, 2.0, 130.0, 204.0, 0.0, 2.0, 172.0, 0.0, 1.4, 1.0, 0.0, 3.0, 0
57.0, 0.0, 4.0, 120.0, 354.0, 0.0, 0.0, 163.0, 1.0, 0.6, 1.0, 0.0, 3.0, 0
53.0, 1.0, 4.0, 140.0, 203.0, 1.0, 2.0, 155.0, 1.0, 3.1, 3.0, 0.0, 7.0, 1
57.0, 1.0, 4.0, 140.0, 192.0, 0.0, 0.0, 148.0, 0.0, 0.4, 2.0, 0.0, 6.0, 0
56.0, 1.0, 3.0, 130.0, 256.0, 1.0, 2.0, 142.0, 1.0, 0.6, 2.0, 1.0, 6.0, 2
54.0, 1.0, 4.0, 140.0, 239.0, 0.0, 0.0, 160.0, 0.0, 1.2, 1.0, 0.0, 3.0, 0
60.0, 1.0, 4.0, 130.0, 206.0, 0.0, 2.0, 132.0, 1.0, 2.4, 2.0, 2.0, 7.0, 4
69.0, 0.0, 1.0, 140.0, 239.0, 0.0, 0.0, 151.0, 0.0, 1.8, 1.0, 2.0, 3.0, 0
64.0, 1.0, 3.0, 140.0, 335.0, 0.0, 0.0, 158.0, 0.0, 0.0, 1.0, 0.0, 3.0, 1
65.0, 0.0, 4.0, 150.0, 225.0, 0.0, 2.0, 114.0, 0.0, 1.0, 2.0, 3.0, 7.0, 4
65.0, 1.0, 4.0, 120.0, 177.0, 0.0, 0.0, 140.0, 0.0, 0.4, 1.0, 0.0, 7.0, 0
60.0, 1.0, 4.0, 130.0, 253.0, 0.0, 0.0, 144.0, 1.0, 1.4, 1.0, 1.0, 7.0, 1
51.0, 0.0, 4.0, 130.0, 305.0, 0.0, 0.0, 142.0, 1.0, 1.2, 2.0, 0.0, 7.0, 2
46.0, 0.0, 3.0, 142.0, 177.0, 0.0, 2.0, 160.0, 1.0, 1.4, 3.0, 0.0, 3.0, 0
44.0, 1.0, 4.0, 110.0, 197.0, 0.0, 2.0, 177.0, 0.0, 0.0, 1.0, 1.0, 3.0, 1
60.0, 1.0, 4.0, 125.0, 258.0, 0.0, 2.0, 141.0, 1.0, 2.8, 2.0, 1.0, 7.0, 1
48.0, 1.0, 2.0, 130.0, 245.0, 0.0, 2.0, 180.0, 0.0, 0.2, 2.0, 0.0, 3.0, 0
58.0, 1.0, 4.0, 150.0, 270.0, 0.0, 2.0, 111.0, 1.0, 0.8, 1.0, 0.0, 7.0, 3
44.0, 1.0, 3.0, 140.0, 235.0, 0.0, 2.0, 180.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0
47.0, 1.0, 3.0, 138.0, 257.0, 0.0, 2.0, 156.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0
62.0, 1.0, 3.0, 130.0, 231.0, 0.0, 0.0, 146.0, 0.0, 1.8, 2.0, 3.0, 7.0, 0
34.0, 1.0, 1.0, 118.0, 182.0, 0.0, 2.0, 174.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0
