@relation banana
@attribute At1 real [-3.09, 2.81]
@attribute At2 real [-2.39, 3.19]
@attribute Class {-1.0, 1.0}
@inputs At1, At2
@outputs Class
@data
-1.25, -0.286, 1.0
-0.541, -0.332, 1.0
-1.69, -0.0461, 1.0
-1.01, -1.36, -1.0
-0.863, 0.496, 1.0
-0.871, -0.825, 1.0
0.996, -1.7, 1.0
1.74, 0.964, 1.0
0.763, 0.921, -1.0
0.00902, -0.434, 1.0
-2.14, -1.43, 1.0
0.041, -1.13, -1.0
-2.11, 0.193, -1.0
-0.149, -1.2, -1.0
-1.67, -1.26, 1.0
0.0238, 0.0836, 1.0
1.33, 1.63, 1.0
1.17, -1.39, 1.0
1.38, -1.74, 1.0
-1.79, -0.98, 1.0
-1.79, -0.954, 1.0
0.826, 1.5, 1.0
-0.476, -1.49, -1.0
-1.08, 0.114, 1.0
-0.223, -0.419, 1.0
0.309, -0.175, 1.0
1.02, -0.261, 1.0
-0.876, -1.0, -1.0
-1.16, 0.469, 1.0
-1.52, 0.66, -1.0
0.917, 0.525, -1.0
-0.0482, 1.52, -1.0
0.162, -0.791, -1.0
-0.296, 0.255, 1.0
-0.0987, 0.966, 1.0
0.0131, -0.969, -1.0
-1.04, -0.2, 1.0
1.18, 0.614, -1.0
-1.03, -1.09, -1.0
-1.77, -0.828, 1.0
-1.19, 0.309, -1.0
0.143, 0.263, 1.0
0.0107, 0.0258, 1.0
1.43, 0.484, -1.0
-1.87, -1.26, 1.0
0.178, 1.49, -1.0
-1.25, 0.512, 1.0
-1.24, 1.0, -1.0
0.329, -0.37, 1.0
0.529, 1.62, -1.0
-0.23, 1.08, -1.0
-0.869, -0.0393, 1.0
-1.06, -1.07, -1.0
1.08, 0.79, -1.0
0.498, 0.567, -1.0
-0.0263, -1.35, -1.0
0.207, 0.0304, 1.0
-0.717, 1.0, -1.0
-1.87, -1.1, 1.0
-0.946, -0.197, 1.0
-0.337, -1.45, -1.0
1.23, 0.354, -1.0
