@relation banana
@attribute At1 real [-3.09, 2.81]
@attribute At2 real [-2.39, 3.19]
@attribute Class {-1.0, 1.0}
@inputs At1, At2
@outputs Class
@data
1.14, -0.114, -1.0
-1.09, 0.437, 1.0
-0.584, 0.0937, 1.0
1.7, 1.21, 1.0
-0.768, -1.04, -1.0
0.724, 0.989, -1.0
1.16, -0.458, 1.0
1.28, 0.691, -1.0
0.271, -0.591, 1.0
-0.522, -1.34, -1.0
-0.0701, -1.23, -1.0
1.33, 1.51, 1.0
1.22, 1.13, -1.0
1.36, -0.732, 1.0
1.26, -1.37, 1.0
-1.78, -0.378, 1.0
-0.0536, 1.6, -1.0
1.22, -0.361, 1.0
-0.446, -0.861, -1.0
1.27, 0.589, -1.0
-0.101, -0.765, -1.0
1.01, 0.48, -1.0
0.357, -1.07, -1.0
0.77, 1.4, -1.0
0.706, 1.38, 1.0
-0.833, -0.569, -1.0
-0.0303, 2.11, -1.0
-1.86, -1.57, 1.0
-0.806, 0.941, -1.0
0.744, 1.42, 1.0
1.77, 1.35, 1.0
-0.536, 1.13, -1.0
-0.982, -1.08, -1.0
-1.68, 1.08, -1.0
-1.77, -0.923, 1.0
1.06, -0.427, 1.0
1.86, 1.14, 1.0
0.294, -1.5, -1.0
0.896, 1.58, 1.0
0.683, 1.07, -1.0
1.64, 0.0477, -1.0
-0.478, -0.796, -1.0
-0.89, -1.17, -1.0
0.312, -1.23, -1.0
0.976, -1.39, 1.0
-0.877, -0.401, 1.0
1.97, 0.99, 1.0
0.471, 1.39, -1.0
0.535, 0.504, 1.0
0.912, -0.114, -1.0
1.19, 0.697, -1.0
-0.63, 0.949, -1.0
1.23, -0.615, 1.0
1.9, -0.0565, -1.0
1.15, 0.715, -1.0
-0.531, -1.27, -1.0
0.72, 0.989, -1.0
0.0692, -0.828, -1.0
0.909, 0.118, -1.0
0.07, 1.7, -1.0
-0.36, -1.28, -1.0
-1.25, 0.985, -1.0
1.33, 1.42, 1.0
-0.914, 1.07, -1.0
1.19, -1.34, 1.0
-1.63, -1.41, 1.0
-1.75, 0.722, -1.0
-0.509, -1.41, -1.0
-2.34, 0.246, -1.0
0.564, -1.13, 1.0
-0.0584, 0.54, 1.0
-0.813, -0.57, 1.0
-0.274, 0.0468, 1.0
1.17, -0.567, 1.0
0.287, -0.517, 1.0
-0.392, -1.27, -1.0
-0.473, -0.749, -1.0
1.2, -1.56, 1.0
-0.74, -1.53, -1.0
-0.769, 1.35, -1.0
-0.481, 1.09, -1.0
0.866, -0.917, 1.0
0.763, 1.15, -1.0
0.794, 0.762, -1.0
1.04, 0.563, -1.0
-0.508, 1.48, -1.0
-1.69, -0.175, -1.0
0.301, -1.17, -1.0
1.37, -0.331, 1.0
-0.48, -0.913, -1.0
-0.52, -1.52, -1.0
-0.648, -0.631, -1.0
-0.533, -0.402, 1.0
1.09, -1.59, 1.0
-0.724, -1.26, -1.0
-0.843, 1.4, -1.0
-0.268, -1.26, -1.0
-1.58, -0.842, 1.0
-0.322, -1.12, -1.0
-0.00264, -1.02, -1.0
-1.69, -1.2, 1.0
2.16, 1.16, 1.0
-0.0537, -1.52, -1.0
-1.73, -1.32, 1.0
-0.262, 1.28, -1.0
-1.4, -0.37, 1.0
0.778, 1.44, 1.0
0.74, 1.2, 1.0
0.149, 1.98, -1.0
-0.891, 1.0, -1.0
1.21, 1.28, -1.0
-1.69, -0.542, 1.0
1.84, 1.18, 1.0
0.571, 0.197, 1.0
0.682, 1.5, -1.0
0.307, -0.678, -1.0
-0.739, 0.578, 1.0
0.416, 1.86, 1.0
1.27, -0.441, -1.0
-0.704, -0.802, -1.0
0.088, -1.25, -1.0
-1.12, 0.154, 1.0
0.472, 0.289, 1.0
-0.413, -0.0275, 1.0
-1.14, -0.494, 1.0
-0.641, 0.516, 1.0
-1.04, 0.679, -1.0
0.863, -1.02, 1.0
-0.9, 1.49, -1.0
1.58, -1.29, 1.0
-2.15, -0.858, 1.0
-0.227, -1.19, -1.0
0.642, 1.65, 1.0
0.373, 1.48, -1.0
0.333, -0.845, 1.0
-1.43, 1.26, -1.0
0.13, 1.38, -1.0
-0.411, 0.727, 1.0
0.37, 0.312, 1.0
-1.41, -0.214, 1.0
-1.02, -1.18, -1.0
0.902, -1.08, 1.0
0.205, -0.471, 1.0
-0.625, 1.14, -1.0
-1.73, 0.87, -1.0
0.176, 1.94, -1.0
0.899, -0.235, 1.0
0.15, -0.256, 1.0
0.527, -0.251, 1.0
-1.14, 0.488, -1.0
-1.46, -0.909, 1.0
-1.64, 0.143, 1.0
0.726, 0.289, -1.0
0.341, -1.32, -1.0
-0.978, 0.931, -1.0
-1.31, -0.229, 1.0
1.01, -0.94, 1.0
0.0219, -0.388, 1.0
1.38, 0.877, -1.0
-0.0908, -0.846, -1.0
-0.166, -0.986, -1.0
-1.66, -0.735, 1.0
0.169, 1.86, 1.0
-1.62, -1.85, 1.0
0.272, 1.82, 1.0
-1.07, 0.534, 1.0
-0.874, 0.922, -1.0
1.47, -0.312, 1.0
-0.377, 0.607, 1.0
1.16, -1.08, 1.0
1.01, -0.743, 1.0
-0.249, 0.0234, 1.0
1.45, -0.26, -1.0
0.827, 0.755, -1.0
0.118, -1.37, -1.0
-1.21, -0.934, -1.0
0.0154, -1.41, -1.0
-0.0789, -1.35, -1.0
0.238, -1.51, -1.0
-0.433, -1.13, -1.0
0.284, 2.37, -1.0
-0.283, 1.88, 1.0
-0.342, -1.31, -1.0
-0.803, -0.705, -1.0
-0.618, -1.2, -1.0
1.47, 1.21, 1.0
-0.232, -0.843, 1.0
0.301, 2.01, -1.0
0.913, -0.318, 1.0
-1.08, 1.31, -1.0
