@relation banana
@attribute At1 real [-3.09, 2.81]
@attribute At2 real [-2.39, 3.19]
@attribute Class {-1.0, 1.0}
@inputs At1, At2
@outputs Class
@data
1.83, 0.452, -1.0
1.79, -0.459, -1.0
-0.122, -0.808, -1.0
-0.77, 0.364, 1.0
0.925, 0.895, -1.0
-1.59, -0.68, 1.0
-1.41, 0.894, -1.0
0.315, -0.182, 1.0
0.526, 1.48, -1.0
-0.352, -0.49, 1.0
1.09, -1.37, 1.0
-0.223, -1.28, -1.0
-0.0341, -1.07, -1.0
1.97, -0.772, -1.0
-0.323, -0.213, 1.0
-0.439, -0.961, -1.0
0.201, 0.0024, 1.0
0.812, 0.708, -1.0
0.415, -1.0, -1.0
0.767, -0.248, 1.0
1.23, -1.2, 1.0
0.27, 0.0491, 1.0
-0.519, -0.799, -1.0
-0.0583, -1.15, -1.0
-0.209, 0.345, 1.0
0.98, -0.0439, 1.0
-1.39, -0.451, 1.0
-1.12, 0.576, -1.0
-0.795, -1.43, -1.0
-0.0418, -1.02, -1.0
-1.62, 0.102, -1.0
0.529, 0.133, -1.0
-1.74, 0.693, -1.0
-0.584, 1.01, -1.0
-0.529, -0.357, 1.0
-0.411, -1.3, -1.0
-0.0347, 1.3, -1.0
-1.33, 1.08, -1.0
-0.447, -1.0, -1.0
0.303, -0.143, 1.0
0.916, 0.144, 1.0
0.121, -1.3, -1.0
0.268, -1.08, 1.0
2.07, 1.21, 1.0
0.121, 1.72, -1.0
1.22, -0.0172, -1.0
0.139, -1.01, -1.0
-0.645, -0.238, 1.0
-0.467, -1.51, -1.0
-0.705, -0.93, -1.0
-0.786, -1.33, -1.0
0.778, -0.694, 1.0
-1.03, 1.18, -1.0
-0.956, -0.818, 1.0
-1.37, -0.803, 1.0
0.983, -1.31, 1.0
-1.59, -1.0, 1.0
-0.112, -0.841, 1.0
-0.3, -1.04, -1.0
0.586, 1.15, -1.0
-0.579, -0.748, 1.0
1.49, -0.00779, -1.0
-1.13, 0.6, -1.0
-0.109, -1.25, -1.0
0.68, 0.702, -1.0
-0.562, -1.01, -1.0
1.79, -0.102, -1.0
0.262, -0.673, -1.0
0.0788, -0.0998, 1.0
0.298, -0.829, 1.0
0.328, 1.71, 1.0
0.354, -1.19, -1.0
-0.0381, -0.791, -1.0
1.06, 0.266, -1.0
1.2, -0.948, 1.0
1.37, -0.643, -1.0
0.99, -0.0762, 1.0
0.975, 1.48, -1.0
0.837, 1.75, 1.0
0.379, 1.36, -1.0
0.939, -0.351, 1.0
1.24, 0.554, -1.0
0.672, 2.03, -1.0
-0.113, -0.197, 1.0
-0.941, 0.976, -1.0
1.45, 0.398, -1.0
-0.455, 0.868, -1.0
-0.232, -1.4, -1.0
0.685, 1.69, -1.0
1.66, 0.672, -1.0
0.489, 0.904, -1.0
-0.617, -1.02, -1.0
-0.66, 0.965, -1.0
0.96, -0.522, 1.0
-1.76, -0.903, 1.0
0.0486, -0.389, 1.0
-1.46, 0.0829, 1.0
0.707, 0.0524, 1.0
-1.33, 0.0398, 1.0
-0.672, 0.683, 1.0
-1.9, -1.1, 1.0
-0.107, -1.5, -1.0
1.25, -0.35, -1.0
0.183, -1.21, -1.0
0.975, 0.809, -1.0
-0.0552, 0.882, 1.0
0.844, 0.243, -1.0
1.64, 0.174, -1.0
-0.297, -0.467, 1.0
-0.698, -1.26, -1.0
-0.346, -1.5, -1.0
0.701, 0.0237, 1.0
2.43, 1.39, 1.0
1.28, -0.176, 1.0
-0.0307, 0.678, 1.0
-0.601, -0.539, 1.0
-0.192, 1.66, -1.0
-1.25, -1.28, -1.0
0.851, 1.46, -1.0
1.01, -1.05, 1.0
-0.623, -0.737, 1.0
-0.254, -0.932, -1.0
1.07, 0.0877, -1.0
-0.106, -0.316, 1.0
-0.151, 1.66, -1.0
0.176, -1.11, -1.0
-1.14, 0.304, 1.0
1.52, 0.409, -1.0
