@relation unknow
@attribute a1 real [13.0, 334177.0]
@attribute a2 real [0.0, 256382.0]
@attribute a3 real [3.0, 5323.0]
@attribute a4 real [1.0, 893.0]
@attribute a5 real [0.0, 675.0]
@attribute a6 real [-457916.0, 575241.0]
@attribute a7 real [-297172.0, 238321.0]
@attribute a8 real [-205895.0, 179851.0]
@attribute a9 real [0.0, 89958.0]
@attribute a10 real [57.0, 495561.0]
@attribute a11 {g, h}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9, a10
@outputs a11
@data
86049.0, 21829.0, 3359.0, 237.0, 166.0, -58785.0, 57821.0, -18809.0, 2005.0, 302553.0, g
49614.0, 28148.0, 3264.0, 177.0, 89.0, 44089.0, 26013.0, 22939.0, 67.0, 150761.0, g
3495.0, 16012.0, 3066.0, 297.0, 164.0, -12519.0, 11141.0, -7578.0, 17668.0, 201404.0, g
36902.0, 24923.0, 3088.0, 186.0, 98.0, -2473.0, -13283.0, 8108.0, 1973.0, 135037.0, g
62155.0, 22853.0, 3407.0, 18.0, 95.0, -15092.0, 43185.0, 11899.0, 3428.0, 222286.0, g
28337.0, 2499.0, 2968.0, 334.0, 19.0, 27123.0, 22048.0, -15773.0, 7208.0, 10715.0, g
20848.0, 12248.0, 2437.0, 508.0, 28.0, -26481.0, -10558.0, -9467.0, 68667.0, 10045.0, g
73265.0, 27079.0, 3529.0, 172.0, 9.0, 28752.0, 67972.0, 18874.0, 622.0, 285997.0, g
27868.0, 6824.0, 2358.0, 596.0, 3.0, 33624.0, 17972.0, 2673.0, 8588.0, 141871.0, g
38149.0, 22174.0, 2647.0, 3.0, 157.0, 26591.0, 3119.0, -19883.0, 23091.0, 259555.0, g
13002.0, 1093.0, 2132.0, 753.0, 461.0, -13919.0, 6032.0, 9177.0, 66374.0, 154086.0, g
52756.0, 23644.0, 2989.0, 244.0, 126.0, -86643.0, 34628.0, 1184.0, 6159.0, 256009.0, g
44556.0, 18617.0, 2642.0, 338.0, 17.0, -6745.0, 2276.0, 16828.0, 17216.0, 279399.0, g
19284.0, 113.0, 236.0, 616.0, 312.0, -9283.0, 18062.0, 8222.0, 83797.0, 63913.0, g
70118.0, 26765.0, 2852.0, 361.0, 213.0, -78962.0, 34918.0, 14198.0, 1466.0, 262124.0, g
17968.0, 10798.0, 2164.0, 541.0, 284.0, -934.0, 6382.0, -45.0, 7735.0, 230022.0, g
36939.0, 19833.0, 3045.0, 292.0, 154.0, -19253.0, 289.0, 10536.0, 3016.0, 256056.0, g
41204.0, 14149.0, 2881.0, 338.0, 195.0, -12991.0, 33551.0, 7088.0, 3328.0, 203344.0, g
20865.0, 15374.0, 2484.0, 525.0, 362.0, 19018.0, 17624.0, 10803.0, 7671.0, 148714.0, g
66435.0, 17664.0, 2912.0, 386.0, 216.0, 60897.0, 67757.0, 1228.0, 10237.0, 219291.0, g
90176.0, 13963.0, 2602.0, 502.0, 299.0, -106492.0, -54229.0, 1112.0, 1523.0, 41094.0, g
84153.0, 24555.0, 3202.0, 341.0, 204.0, -37894.0, -71249.0, -9622.0, 2331.0, 302097.0, g
85637.0, 2889.0, 3404.0, 199.0, 114.0, -35825.0, 35499.0, 21963.0, 1247.0, 325385.0, g
40732.0, 16666.0, 2777.0, 279.0, 15.0, 46362.0, -25754.0, 13391.0, 4584.0, 24329.0, g
97023.0, 27752.0, 3225.0, 269.0, 196.0, -18167.0, 58156.0, -16904.0, 2867.0, 343473.0, g
20108.0, 7112.0, 2175.0, 776.0, 405.0, 21642.0, 12832.0, 523.0, 15288.0, 127573.0, g
47828.0, 19752.0, 3239.0, 254.0, 129.0, 28577.0, 34306.0, -14579.0, 353.0, 244304.0, g
60481.0, 28502.0, 3489.0, 214.0, 11.0, -43909.0, 45631.0, 15624.0, 1106.0, 285973.0, g
55576.0, 21834.0, 2831.0, 288.0, 176.0, -80342.0, 30474.0, 18328.0, 2858.0, 261157.0, g
27978.0, 1204.0, 2582.0, 461.0, 237.0, 4347.0, 25099.0, 8466.0, 16055.0, 6638.0, g
141884.0, 18194.0, 2546.0, 415.0, 232.0, -146974.0, 98604.0, -11733.0, 5704.0, 310081.0, g
