@relation page-blocks
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.0070, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {1, 2, 3, 4, 5}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
5, 8, 40, 1.6, 0.55, 1.0, 2.44, 22, 40, 9, 1
5, 5, 25, 1.0, 0.4, 0.52, 10.0, 10, 13, 1, 1
5, 8, 40, 1.6, 0.375, 0.475, 15.0, 15, 19, 1, 1
6, 7, 42, 1.167, 0.405, 0.952, 4.25, 17, 40, 4, 1
5, 7, 35, 1.4, 0.429, 0.886, 2.5, 15, 31, 6, 1
7, 16, 112, 2.286, 0.321, 0.643, 2.57, 36, 72, 14, 1
2, 101, 202, 50.5, 0.54, 0.743, 10.9, 109, 150, 10, 2
9, 50, 450, 5.556, 0.496, 0.958, 2.69, 223, 431, 83, 1
9, 22, 198, 2.444, 0.288, 0.818, 2.48, 57, 162, 23, 1
9, 12, 108, 1.333, 0.444, 0.981, 1.71, 48, 106, 28, 1
9, 51, 459, 5.667, 0.296, 0.786, 2.34, 136, 361, 58, 1
10, 53, 530, 5.3, 0.294, 0.819, 1.79, 156, 434, 87, 1
9, 64, 576, 7.111, 0.299, 0.97, 1.81, 172, 559, 95, 1
12, 11, 132, 0.917, 0.371, 1.0, 1.63, 49, 132, 30, 1
12, 44, 528, 3.667, 0.261, 0.767, 2.38, 138, 405, 58, 1
9, 76, 684, 8.444, 0.307, 0.882, 1.84, 210, 603, 114, 1
12, 44, 528, 3.667, 0.294, 0.742, 2.31, 155, 392, 67, 1
9, 32, 288, 3.556, 0.271, 0.594, 2.23, 78, 171, 35, 1
1, 13, 13, 13.0, 1.0, 1.0, 13.0, 13, 13, 1, 2
1, 8, 8, 8.0, 1.0, 1.0, 8.0, 8, 8, 1, 2
2, 20, 40, 10.0, 0.725, 0.875, 29.0, 29, 35, 1, 2
2, 20, 40, 10.0, 0.775, 0.85, 31.0, 31, 34, 1, 2
13, 10, 130, 0.769, 0.3, 0.808, 6.5, 39, 105, 6, 1
8, 3, 24, 0.375, 0.417, 0.417, 10.0, 10, 10, 1, 1
98, 3, 294, 0.031, 0.48, 0.486, 141.0, 141, 143, 1, 4
2, 48, 96, 24.0, 0.625, 0.677, 30.0, 60, 65, 2, 2
9, 44, 396, 4.889, 0.46, 0.937, 2.84, 182, 371, 64, 1
11, 77, 847, 7.0, 0.345, 0.874, 2.43, 292, 740, 120, 1
9, 123, 1107, 13.667, 0.362, 0.986, 2.62, 401, 1091, 153, 1
7, 58, 406, 8.286, 0.202, 0.751, 2.34, 82, 305, 35, 1
1, 27, 27, 27.0, 0.593, 1.0, 4.0, 16, 27, 4, 1
2, 31, 62, 15.5, 0.194, 0.516, 2.0, 12, 32, 6, 1
2, 19, 38, 9.5, 0.237, 1.0, 1.8, 9, 38, 5, 1
10, 98, 980, 9.8, 0.391, 0.835, 2.41, 383, 818, 159, 1
9, 66, 594, 7.333, 0.323, 0.805, 2.0, 192, 478, 96, 1
8, 80, 640, 10.0, 0.303, 0.922, 1.72, 194, 590, 113, 1
8, 80, 640, 10.0, 0.298, 0.883, 1.72, 191, 565, 111, 1
