@relation page-blocks
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.0070, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {1, 2, 3, 4, 5}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
6, 7, 42, 1.167, 0.429, 0.881, 3.6, 18, 37, 5, 1
5, 7, 35, 1.4, 0.371, 0.743, 4.33, 13, 26, 3, 1
5, 6, 30, 1.2, 0.333, 0.333, 10.0, 10, 10, 1, 1
5, 7, 35, 1.4, 0.429, 0.857, 5.0, 15, 30, 3, 1
6, 7, 42, 1.167, 0.405, 0.881, 4.25, 1, 737, 4, 1
4, 6, 24, 1.5, 0.417, 0.5, 10.0, 10, 12, 1, 1
4, 6, 24, 1.5, 0.458, 0.792, 5.5, 11, 19, 2, 1
5, 4, 20, 0.8, 0.5, 0.8, 10.0, 10, 16, 1, 1
11, 8, 88, 0.727, 0.409, 0.477, 36.0, 36, 42, 1, 1
11, 8, 88, 0.727, 0.602, 1.0, 5.89, 53, 88, 9, 1
10, 98, 980, 9.8, 0.379, 0.835, 2.22, 371, 818, 167, 1
2, 18, 36, 9.0, 0.806, 0.833, 29.0, 29, 30, 1, 2
2, 22, 44, 11.0, 0.705, 0.864, 15.5, 31, 38, 2, 2
11, 102, 1122, 9.273, 0.223, 0.768, 1.53, 250, 862, 163, 1
9, 41, 369, 4.556, 0.298, 0.775, 1.9, 110, 286, 58, 1
10, 4, 40, 0.4, 0.375, 0.4, 15.0, 15, 16, 1, 1
10, 34, 340, 3.4, 0.297, 0.885, 1.71, 101, 301, 59, 1
12, 7, 84, 0.583, 0.214, 0.583, 3.6, 18, 49, 5, 1
