@relation page-blocks
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.0070, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {1, 2, 3, 4, 5}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
5, 7, 35, 1.4, 0.4, 0.657, 2.33, 14, 23, 6, 1
5, 6, 30, 1.2, 0.433, 0.733, 13.0, 13, 22, 1, 1
4, 18, 72, 4.5, 0.25, 0.528, 2.57, 18, 38, 7, 1
11, 9, 99, 0.818, 0.343, 0.626, 3.4, 34, 62, 10, 1
11, 8, 88, 0.727, 0.58, 1.0, 5.1, 51, 88, 10, 1
11, 35, 385, 3.182, 0.382, 0.657, 6.13, 147, 253, 24, 1
2, 20, 40, 10.0, 0.675, 0.675, 27.0, 27, 27, 1, 2
10, 38, 380, 3.8, 0.426, 0.947, 3.12, 162, 360, 52, 1
4, 194, 776, 48.5, 0.263, 0.273, 34.0, 204, 212, 6, 2
10, 66, 660, 6.6, 0.273, 0.661, 1.94, 180, 436, 93, 1
9, 90, 810, 10.0, 0.26, 0.786, 2.18, 211, 637, 97, 1
9, 92, 828, 10.222, 0.286, 0.885, 1.93, 237, 733, 123, 1
11, 85, 935, 7.727, 0.257, 0.894, 1.67, 240, 836, 144, 1
9, 84, 756, 9.333, 0.222, 0.937, 1.81, 168, 708, 93, 1
9, 54, 486, 6.0, 0.292, 0.957, 1.48, 142, 465, 96, 1
12, 14, 168, 1.167, 0.357, 0.958, 2.31, 60, 161, 26, 1
11, 86, 946, 7.818, 0.413, 0.853, 3.1, 391, 807, 126, 1
9, 5, 45, 0.556, 0.378, 0.933, 2.83, 17, 42, 6, 1
9, 21, 189, 2.333, 0.291, 0.762, 1.57, 55, 144, 35, 1
9, 32, 288, 3.556, 0.302, 0.781, 2.07, 87, 225, 42, 1
11, 101, 1111, 9.182, 0.398, 0.888, 2.76, 442, 987, 160, 1
11, 119, 1309, 10.818, 0.261, 0.798, 1.88, 341, 1045, 181, 1
9, 40, 360, 4.444, 0.319, 0.919, 2.35, 115, 331, 49, 1
1, 8, 8, 8.0, 1.0, 1.0, 8.0, 8, 8, 1, 2
2, 46, 92, 23.0, 0.587, 0.761, 18.0, 54, 70, 3, 2
2, 116, 232, 58.0, 0.616, 0.802, 17.88, 143, 186, 8, 2
2, 17, 34, 8.5, 0.324, 1.0, 2.75, 11, 34, 4, 1
2, 11, 22, 5.5, 0.409, 0.955, 9.0, 9, 21, 1, 1
7, 107, 749, 15.286, 0.27, 0.654, 1.6, 202, 490, 126, 1
5, 9, 45, 1.8, 0.267, 0.778, 1.71, 12, 35, 7, 1
11, 9, 99, 0.818, 0.475, 0.636, 15.67, 47, 63, 3, 1
1, 43, 43, 43.0, 0.907, 1.0, 9.75, 39, 43, 4, 2
9, 96, 864, 10.667, 0.281, 0.815, 1.96, 243, 704, 124, 1
8, 53, 424, 6.625, 0.358, 0.981, 1.54, 152, 416, 99, 1
8, 8, 64, 1.0, 0.203, 0.344, 4.33, 13, 22, 3, 1
