@relation bands
@attribute Proof_cut real[25.0,72.5]
@attribute Viscosity integer[35,72]
@attribute Caliper real[0.133,0.533]
@attribute Ink_temperature real[11.2,24.5]
@attribute Humifity integer[57,105]
@attribute Roughness real[0.056,1.25]
@attribute Blade_pressure integer[16,70]
@attribute Varnish_pct real[0.0,35.8]
@attribute Press_speed integer[0,2600]
@attribute Ink_pct real[41.0,76.9]
@attribute Solvent_pct real[22.0,53.4]
@attribute Esa_voltage real[0.0,16.0]
@attribute ESA_amperage real[0.0,6.0]
@attribute Wax real[0.0,3.1]
@attribute Hardener real[0.0,3.0]
@attribute Roller_durometer real[28.0,60.0]
@attribute Density integer[30,45]
@attribute Anode_ratio real[83.33,117.86]
@attribute Chrome_content integer[90,100]
@attribute Band_type{band,noband}
@inputs Proof_cut, Viscosity, Caliper, Ink_temperature, Humifity, Roughness, Blade_pressure, Varnish_pct, Press_speed, Ink_pct, Solvent_pct, Esa_voltage, ESA_amperage, Wax, Hardener, Roller_durometer, Density, Anode_ratio, Chrome_content
@outputs Band_type
@data
40.0,45,0.3,14.5,70,0.625,25,0.0,1500,59.5,40.5,0.0,0.0,2.0,1.0,40.0,40,100.0,100,band
35.0,44,0.3,16.0,80,1.0,32,7.0,1400,58.1,34.9,0.0,0.0,3.0,1.0,28.0,40,103.12,100,noband
50.0,43,0.3,16.3,80,0.812,30,0.0,2270,55.6,44.4,12.0,0.0,1.5,1.5,30.0,40,103.22,100,noband
25.0,38,0.233,14.0,70,0.625,25,0.0,1600,58.8,41.2,5.0,0.0,1.7,0.9,30.0,40,103.12,100,noband
67.5,45,0.2,15.5,80,0.5,34,16.3,1683,43.5,40.2,6.0,0.0,2.5,1.0,40.0,40,109.67,100,noband
49.0,43,0.35,14.5,74,0.75,23,9.1,1900,56.8,34.1,2.0,0.0,0.7,0.2,35.0,40,103.22,100,band
42.5,46,0.3,14.0,77,0.625,42,15.8,1850,49.5,34.6,8.0,0.0,1.5,0.8,34.0,40,100.0,100,band
50.0,50,0.2,15.5,74,0.75,58,4.8,1420,59.5,35.7,3.0,0.0,3.0,1.0,40.0,40,106.45,100,noband
35.0,56,0.2,15.0,80,0.812,40,8.6,2100,53.8,37.6,8.0,0.0,1.7,1.0,30.0,40,100.0,100,noband
45.0,54,0.333,15.5,76,0.812,30,5.6,2250,55.6,38.9,2.0,0.0,2.5,1.3,30.0,40,106.45,100,noband
47.5,60,0.4,14.5,74,0.812,20,8.6,1600,53.8,37.6,0.0,0.0,2.0,1.5,35.0,40,110.0,100,noband
40.0,64,0.2,16.5,82,0.562,30,2.3,1900,57.5,40.2,0.0,0.0,1.3,0.8,30.0,40,106.45,100,band
45.0,49,0.2,16.0,72,0.375,38,15.0,1650,50.0,35.0,0.0,0.0,2.5,0.2,38.0,33,96.9,100,band
37.5,54,0.3,14.5,80,1.0,20,10.9,2400,54.3,34.8,0.0,0.0,2.5,0.4,30.0,40,103.3,100,noband
50.0,56,0.2,14.3,105,0.75,70,0.0,1600,55.5,44.5,0.0,0.0,3.0,1.0,45.0,35,100.0,100,band
30.0,58,0.333,16.3,78,0.625,30,0.0,2150,58.8,41.2,10.0,0.0,2.5,1.0,30.0,35,90.0,100,noband
30.0,56,0.2,14.7,87,0.875,20,0.0,2150,58.8,41.2,12.0,0.0,1.5,0.6,30.0,40,96.8,100,noband
55.0,54,0.3,15.8,79,0.5,30,12.4,1500,51.5,36.1,0.0,0.0,3.0,0.5,32.0,35,93.3,100,noband
45.0,50,0.2,14.5,70,0.75,42,5.3,1700,52.6,42.1,0.0,0.0,3.0,0.8,40.0,45,100.0,100,noband
40.0,50,0.267,13.5,75,0.75,45,0.0,1700,58.8,41.2,0.0,0.0,3.0,0.6,40.0,35,100.0,100,noband
52.5,55,0.333,14.0,70,0.625,55,7.9,1600,57.5,34.44,4.0,0.0,3.0,0.8,40.0,45,93.75,100,noband
35.0,72,0.367,15.2,72,1.0,36,0.0,2200,65.2,34.8,0.0,0.0,2.5,1.0,30.0,40,93.6,90,band
55.0,50,0.2,17.0,78,0.25,32,9.7,1900,52.2,38.1,0.0,0.0,3.0,0.9,35.0,40,96.97,90,band
47.5,54,0.3,14.0,65,0.625,25,16.1,1500,44.6,39.3,4.0,0.0,2.5,1.0,34.0,40,114.29,100,band
40.0,50,0.3,13.0,74,0.25,25,0.0,2500,58.8,41.2,2.0,0.0,2.5,0.5,30.0,40,114.29,100,noband
40.0,42,0.2,15.0,65,0.75,55,0.0,1650,62.5,37.5,0.0,0.0,2.5,1.0,40.0,40,96.77,100,band
40.0,46,0.3,15.0,70,0.75,50,0.0,1800,53.9,46.1,0.0,0.0,2.5,1.0,40.0,40,100.0,100,band
45.0,41,0.333,15.8,78,1.0,40,0.0,2300,62.5,37.5,4.0,0.0,2.5,1.4,35.0,40,100.0,100,noband
50.0,42,0.233,15.0,90,1.0,35,0.0,1650,55.5,44.5,0.0,0.0,2.5,1.0,38.0,40,100.0,100,band
67.5,50,0.167,16.5,73,0.875,20,18.1,1800,47.6,34.3,0.0,0.0,2.5,0.8,34.0,40,110.71,100,band
45.0,40,0.3,16.0,89,0.625,22,0.0,1300,60.0,40.0,1.0,0.0,2.5,1.0,40.0,40,106.45,100,band
45.0,42,0.267,14.0,89,0.75,26,0.0,1450,58.8,41.2,1.0,0.0,2.5,1.0,40.0,40,103.22,100,band
45.0,41,0.267,13.3,70,0.75,50,0.0,1700,60.2,39.8,0.0,0.0,3.0,0.8,38.0,40,117.85,100,noband
40.0,41,0.267,15.5,76,0.75,28,3.6,1750,60.2,36.1,4.0,0.0,3.0,1.0,40.0,40,117.85,100,noband
40.0,62,0.3,16.1,82,0.812,30,5.7,1800,56.8,37.5,10.0,0.0,0.7,0.5,30.0,40,106.5,100,noband
40.0,62,0.233,16.1,78,0.562,25,5.5,1800,55.0,39.5,0.0,0.0,1.6,1.5,30.0,40,103.23,100,noband
55.0,44,0.2,15.0,70,0.625,28,8.2,1700,51.0,40.8,0.0,0.0,2.5,2.0,40.0,40,100.0,100,band
37.5,65,0.2,16.0,80,0.625,50,6.6,1640,54.9,38.5,3.0,0.0,3.0,1.0,32.0,40,103.13,100,band
