@relation bands
@attribute Proof_cut real[25.0,72.5]
@attribute Viscosity integer[35,72]
@attribute Caliper real[0.133,0.533]
@attribute Ink_temperature real[11.2,24.5]
@attribute Humifity integer[57,105]
@attribute Roughness real[0.056,1.25]
@attribute Blade_pressure integer[16,70]
@attribute Varnish_pct real[0.0,35.8]
@attribute Press_speed integer[0,2600]
@attribute Ink_pct real[41.0,76.9]
@attribute Solvent_pct real[22.0,53.4]
@attribute Esa_voltage real[0.0,16.0]
@attribute ESA_amperage real[0.0,6.0]
@attribute Wax real[0.0,3.1]
@attribute Hardener real[0.0,3.0]
@attribute Roller_durometer real[28.0,60.0]
@attribute Density integer[30,45]
@attribute Anode_ratio real[83.33,117.86]
@attribute Chrome_content integer[90,100]
@attribute Band_type{band,noband}
@inputs Proof_cut, Viscosity, Caliper, Ink_temperature, Humifity, Roughness, Blade_pressure, Varnish_pct, Press_speed, Ink_pct, Solvent_pct, Esa_voltage, ESA_amperage, Wax, Hardener, Roller_durometer, Density, Anode_ratio, Chrome_content
@outputs Band_type
@data
50.0,40,0.267,16.8,76,0.438,28,8.6,1467,53.8,37.6,5.0,0.0,2.5,0.8,40.0,40,103.87,100,noband
50.0,46,0.2,16.5,75,0.75,28,0.0,2600,62.5,37.5,6.0,0.0,2.5,1.1,30.0,40,106.67,100,noband
50.0,50,0.3,15.0,70,1.0,30,10.0,1600,50.0,40.0,0.0,0.0,2.8,1.0,38.0,40,106.66,100,band
50.0,45,0.233,16.0,70,0.812,30,0.0,2400,58.8,41.2,0.0,0.0,1.7,1.0,30.0,40,107.4,100,noband
40.0,45,0.2,15.0,76,0.812,30,0.0,2400,62.5,37.5,0.0,0.0,1.0,1.0,30.0,40,107.4,100,noband
30.0,43,0.2,16.3,70,0.812,25,1.2,2200,58.1,40.7,4.0,0.0,2.0,1.0,30.0,40,96.875,100,noband
40.0,42,0.2,14.5,74,1.0,25,8.0,2100,57.5,34.5,0.0,0.0,2.3,0.7,35.0,40,107.4,100,band
40.0,43,0.267,16.0,96,1.0,28,0.0,1500,58.8,41.2,2.0,0.0,3.0,0.8,40.0,40,103.12,100,noband
37.5,44,0.3,15.0,85,0.75,34,0.0,1400,62.5,37.5,0.0,0.0,2.8,1.0,28.0,40,103.12,100,noband
42.5,41,0.3,14.0,70,0.625,20,2.3,1750,57.5,40.0,4.0,0.0,2.5,0.7,35.0,40,96.97,100,noband
50.0,43,0.333,14.02,68,0.75,56,7.4,1800,53.2,39.4,0.0,0.5,3.0,1.3,40.0,40,109.67,100,noband
55.0,37,0.267,16.0,75,0.625,20,5.6,1850,55.6,38.9,0.0,0.0,0.8,0.75,33.0,40,109.67,100,noband
40.0,43,0.35,16.5,72,0.625,20,9.1,2000,56.8,34.1,4.0,0.0,2.5,0.5,35.0,40,103.22,100,noband
40.0,43,0.35,16.1,70,0.625,20,11.1,2000,55.6,33.3,4.0,0.0,1.8,0.9,35.0,40,103.22,100,noband
55.0,49,0.267,12.5,70,0.625,30,5.6,1750,55.6,38.9,0.0,0.0,2.5,0.9,34.0,40,106.66,100,band
55.0,49,0.2,15.6,74,0.75,24,0.0,1650,58.8,41.2,0.0,0.0,2.5,1.7,33.0,40,103.33,100,noband
47.5,68,0.4,14.0,78,0.75,22,0.0,1900,62.5,37.5,0.0,0.0,2.1,1.7,33.0,40,103.125,100,band
37.5,70,0.333,14.9,64,0.75,28,3.4,1500,57.5,39.1,0.0,0.0,2.5,1.0,40.0,40,106.89,100,noband
50.0,62,0.4,14.9,96,0.75,26,11.0,1950,50.0,39.0,0.0,0.0,2.8,0.8,33.0,40,110.0,100,noband
40.0,56,0.3,17.0,82,0.75,30,0.0,2550,52.6,47.4,0.0,0.0,2.0,1.0,33.0,40,103.22,100,noband
47.5,52,0.267,14.3,98,0.75,55,11.7,1600,53.2,35.1,0.0,0.0,3.0,1.0,40.0,33,100.0,100,band
50.0,58,0.333,15.5,75,0.812,24,0.0,2200,58.8,41.2,0.0,0.0,1.5,0.6,30.0,42,100.0,100,noband
50.0,58,0.367,13.5,100,0.75,35,0.0,1750,55.5,44.5,3.0,0.0,2.7,0.5,40.0,35,100.0,100,band
60.0,56,0.3,16.0,87,0.625,26,10.5,1450,50.5,39.0,3.0,0.0,3.0,1.3,40.0,40,93.75,100,band
55.0,50,0.133,14.0,80,0.625,32,8.0,2000,60.0,32.0,0.0,0.0,2.5,0.9,35.0,40,93.55,90,band
