@relation bands
@attribute Proof_cut real[25.0,72.5]
@attribute Viscosity integer[35,72]
@attribute Caliper real[0.133,0.533]
@attribute Ink_temperature real[11.2,24.5]
@attribute Humifity integer[57,105]
@attribute Roughness real[0.056,1.25]
@attribute Blade_pressure integer[16,70]
@attribute Varnish_pct real[0.0,35.8]
@attribute Press_speed integer[0,2600]
@attribute Ink_pct real[41.0,76.9]
@attribute Solvent_pct real[22.0,53.4]
@attribute Esa_voltage real[0.0,16.0]
@attribute ESA_amperage real[0.0,6.0]
@attribute Wax real[0.0,3.1]
@attribute Hardener real[0.0,3.0]
@attribute Roller_durometer real[28.0,60.0]
@attribute Density integer[30,45]
@attribute Anode_ratio real[83.33,117.86]
@attribute Chrome_content integer[90,100]
@attribute Band_type{band,noband}
@inputs Proof_cut, Viscosity, Caliper, Ink_temperature, Humifity, Roughness, Blade_pressure, Varnish_pct, Press_speed, Ink_pct, Solvent_pct, Esa_voltage, ESA_amperage, Wax, Hardener, Roller_durometer, Density, Anode_ratio, Chrome_content
@outputs Band_type
@data
50.0,45,0.3,15.2,72,1.0,25,5.9,2150,58.8,35.3,0.0,0.0,2.5,1.0,35.0,40,107.4,100,noband
40.0,47,0.333,17.0,78,0.75,35,0.0,2400,58.8,41.2,4.0,0.0,2.5,1.0,30.0,40,100.0,100,band
50.0,43,0.2,16.0,82,0.875,30,0.0,2270,55.6,44.4,12.0,0.0,2.0,1.0,30.0,40,103.22,100,noband
50.0,43,0.3,17.0,87,0.812,35,0.0,2300,58.8,41.2,0.0,0.0,1.3,0.7,30.0,40,103.22,100,noband
35.0,38,0.4,12.0,62,0.75,46,4.7,1400,58.8,36.5,0.0,0.0,2.0,1.0,28.0,40,103.125,100,noband
50.0,46,0.2,14.6,60,0.625,25,10.5,1750,52.6,36.8,2.0,0.0,2.4,0.8,28.0,40,96.97,100,band
35.0,39,0.2,16.2,84,1.0,30,0.0,2100,62.5,37.5,4.0,0.0,2.0,0.9,30.0,40,94.117,100,noband
42.0,44,0.3,15.0,80,1.25,20,16.7,1300,49.0,34.3,0.0,0.0,2.5,0.2,40.0,40,110.0,100,noband
47.5,68,0.4,16.0,80,0.75,30,0.0,2250,58.8,41.2,0.0,0.0,1.5,1.0,35.0,40,106.45,100,noband
40.0,64,0.233,15.4,88,0.562,24,4.4,1835,55.5,40.0,2.0,0.0,2.0,1.3,30.0,40,106.45,100,noband
