@relation bands
@attribute Proof_cut real [25.0, 72.5]
@attribute Viscosity integer [35, 72]
@attribute Caliper real [0.133, 0.533]
@attribute Ink_temperature real [11.2, 24.5]
@attribute Humifity integer [57, 105]
@attribute Roughness real [0.056, 1.25]
@attribute Blade_pressure integer [16, 70]
@attribute Varnish_pct real [0.0, 35.8]
@attribute Press_speed integer [0, 2600]
@attribute Ink_pct real [41.0, 76.9]
@attribute Solvent_pct real [22.0, 53.4]
@attribute Esa_voltage real [0.0, 16.0]
@attribute ESA_amperage real [0.0, 6.0]
@attribute Wax real [0.0, 3.1]
@attribute Hardener real [0.0, 3.0]
@attribute Roller_durometer real [28.0, 60.0]
@attribute Density integer [30, 45]
@attribute Anode_ratio real [83.33, 117.86]
@attribute Chrome_content integer [90, 100]
@attribute Band_type {band, noband}
@inputs Proof_cut, Viscosity, Caliper, Ink_temperature, Humifity, Roughness, Blade_pressure, Varnish_pct, Press_speed, Ink_pct, Solvent_pct, Esa_voltage, ESA_amperage, Wax, Hardener, Roller_durometer, Density, Anode_ratio, Chrome_content
@outputs Band_type
@data
50.0,46,0.3,17.0,80,0.75,30,0.0,2100,57.5,42.5,5.0,0.0,2.3,0.6,35.0,40,106.67,100,noband
50.0,40,0.267,16.8,76,0.438,28,8.6,1467,53.8,37.6,5.0,0.0,2.5,0.8,40.0,40,103.87,100,noband
50.0,46,0.3,16.5,75,0.75,30,0.0,2600,62.5,37.5,6.0,0.0,2.5,0.6,30.0,40,106.67,100,noband
40.0,45,0.3,14.5,70,0.625,25,0.0,1500,59.5,40.5,0.0,0.0,2.0,1.0,40.0,40,100.0,100,band
50.0,45,0.233,16.0,70,0.812,30,0.0,2400,58.8,41.2,0.0,0.0,1.7,1.0,30.0,40,107.4,100,noband
40.0,44,0.2,14.0,69,0.625,20,8.5,1510,53.2,38.3,2.0,0.0,2.5,0.9,34.0,40,110.0,100,noband
40.0,47,0.333,17.0,78,0.75,35,0.0,2400,58.8,41.2,4.0,0.0,2.5,1.0,30.0,40,100.0,100,band
52.5,43,0.267,15.1,76,0.5,31,6.6,1650,54.9,38.5,0.0,0.0,2.5,1.5,40.0,40,109.67,100,noband
42.0,44,0.3,15.0,80,1.25,20,16.7,1300,49.0,34.3,0.0,0.0,2.5,0.2,40.0,40,110.0,100,noband
35.0,48,0.233,16.0,76,0.812,30,8.9,1900,49.5,41.6,0.0,0.0,2.5,1.2,30.0,40,103.22,100,noband
