@relation unknow
@attribute a01 real [0.0, 1.0]
@attribute a02 real [0.0, 0.0]
@attribute a03 real [-1.0, 1.0]
@attribute a04 real [-1.0, 1.0]
@attribute a05 real [-1.0, 1.0]
@attribute a06 real [-1.0, 1.0]
@attribute a07 real [-1.0, 1.0]
@attribute a08 real [-1.0, 1.0]
@attribute a09 real [-1.0, 1.0]
@attribute a10 real [-1.0, 1.0]
@attribute a11 real [-1.0, 1.0]
@attribute a12 real [-1.0, 1.0]
@attribute a13 real [-1.0, 1.0]
@attribute a14 real [-1.0, 1.0]
@attribute a15 real [-1.0, 1.0]
@attribute a16 real [-1.0, 1.0]
@attribute a17 real [-1.0, 1.0]
@attribute a18 real [-1.0, 1.0]
@attribute a19 real [-1.0, 1.0]
@attribute a20 real [-1.0, 1.0]
@attribute a21 real [-1.0, 1.0]
@attribute a22 real [-1.0, 1.0]
@attribute a23 real [-1.0, 1.0]
@attribute a24 real [-1.0, 1.0]
@attribute a25 real [-1.0, 1.0]
@attribute a26 real [-1.0, 1.0]
@attribute a27 real [-1.0, 1.0]
@attribute a28 real [-1.0, 1.0]
@attribute a29 real [-1.0, 1.0]
@attribute a30 real [-1.0, 1.0]
@attribute a31 real [-1.0, 1.0]
@attribute a32 real [-1.0, 1.0]
@attribute a33 real [-1.0, 1.0]
@attribute a34 real [-1.0, 1.0]
@attribute class {b, g}
@inputs a01, a02, a03, a04, a05, a06, a07, a08, a09, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34
@outputs class
@data
1.0, 0.0, 0.82624, 0.08156, 0.79078, -0.08156, 0.90426, -0.01773, 0.92908, 0.01064, 0.80142, 0.08865, 0.94681, -0.00709, 0.94326, 0.0, 0.93262, 0.20213, 0.95035, -0.00709, 0.91489, 0.00709, 0.80496, 0.07092, 0.91135, 0.15957, 0.89527, 0.08165, 0.7766, 0.06738, 0.92553, 0.18085, 0.92553, 0.0, g
1.0, 0.0, 1.0, -0.41457, 1.0, 0.76131, 0.8706, 0.18593, 1.0, -0.09925, 0.93844, 0.4799, 0.65452, -0.1608, 1.0, 0.00879, 0.97613, -0.50126, 0.80025, -0.24497, 0.88065, -0.19095, 1.0, -0.12312, 0.93593, 0.10678, 0.9289, -0.07249, 1.0, -0.27387, 0.4397, 0.19849, 0.51382, -0.05402, g
1.0, 0.0, 0.68148, 0.1037, 0.77037, 0.03457, 0.65185, 0.08148, 0.60988, -0.00494, 0.79012, 0.11852, 0.59753, 0.04938, 0.62469, 0.0963, 0.78272, -0.17531, 0.73827, -0.10864, 0.48642, 0.00988, 0.60988, 0.08148, 0.66667, -0.1284, 0.63773, -0.02451, 0.76543, 0.02222, 0.61235, -0.0716, 0.51358, -0.04691, g
1.0, 0.0, 0.88208, -0.14639, 0.93408, -0.11057, 0.921, -0.1645, 0.88307, -0.17036, 0.88462, -0.31809, 0.85269, -0.31463, 0.82116, -0.35924, 0.80681, -0.33632, 0.75243, -0.47022, 0.70555, -0.47153, 0.6615, -0.50085, 0.61297, -0.48086, 0.56804, -0.54629, 0.50179, -0.59854, 0.47075, -0.57377, 0.42189, -0.58086, g
1.0, 0.0, 1.0, 0.23395, 0.91404, 0.52013, 0.7802, 0.72144, 0.4766, 0.84222, 0.27639, 0.9173, 0.09467, 0.88248, -0.2198, 0.91404, -0.34168, 0.75517, -0.5136, 0.64527, -0.64527, 0.44614, -0.74102, 0.29162, -0.70838, 0.03591, -0.71731, -0.11943, -0.64962, -0.28183, -0.51251, -0.44505, -0.37432, -0.53319, g
1.0, 0.0, 0.85271, 0.05426, 1.0, 0.08069, 1.0, 1.0, 0.91473, -0.00775, 0.83721, 0.03876, 1.0, 0.27153, 1.0, 1.0, 0.81395, 0.04651, 0.90698, 0.11628, 1.0, 0.5067, 1.0, -1.0, 0.8062, 0.03876, 1.0, 0.71613, 0.84496, 0.06977, 1.0, 0.87317, 1.0, 1.0, b
0.0, 0.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, b
0.0, 0.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, b
1.0, 0.0, 0.88305, -0.21996, 1.0, 0.36373, 0.82403, 0.19206, 0.85086, 0.05901, 0.90558, -0.04292, 0.85193, 0.25, 0.77897, 0.25322, 0.69206, 0.5794, 0.7103, 0.39056, 0.73176, 0.27575, 1.0, 0.34871, 0.5676, 0.52039, 0.69811, 0.53235, 0.80901, 0.58584, 0.43026, 0.70923, 0.52361, 0.54185, g
1.0, 0.0, 0.87032, 0.46972, 0.53945, 0.82161, 0.1038, 0.95275, -0.38033, 0.87916, -0.73939, 0.58226, -0.92099, 0.16731, -0.82417, -0.24942, -0.59383, -0.63342, -0.24012, -0.82881, 0.18823, -0.78699, 0.51557, -0.5743, 0.69274, -0.24843, 0.69097, 0.10484, 0.52798, 0.39762, 0.25974, 0.56573, -0.06739, 0.57552, g
