@relation unknow
@attribute a01 real [0.0, 1.0]
@attribute a02 real [0.0, 0.0]
@attribute a03 real [-1.0, 1.0]
@attribute a04 real [-1.0, 1.0]
@attribute a05 real [-1.0, 1.0]
@attribute a06 real [-1.0, 1.0]
@attribute a07 real [-1.0, 1.0]
@attribute a08 real [-1.0, 1.0]
@attribute a09 real [-1.0, 1.0]
@attribute a10 real [-1.0, 1.0]
@attribute a11 real [-1.0, 1.0]
@attribute a12 real [-1.0, 1.0]
@attribute a13 real [-1.0, 1.0]
@attribute a14 real [-1.0, 1.0]
@attribute a15 real [-1.0, 1.0]
@attribute a16 real [-1.0, 1.0]
@attribute a17 real [-1.0, 1.0]
@attribute a18 real [-1.0, 1.0]
@attribute a19 real [-1.0, 1.0]
@attribute a20 real [-1.0, 1.0]
@attribute a21 real [-1.0, 1.0]
@attribute a22 real [-1.0, 1.0]
@attribute a23 real [-1.0, 1.0]
@attribute a24 real [-1.0, 1.0]
@attribute a25 real [-1.0, 1.0]
@attribute a26 real [-1.0, 1.0]
@attribute a27 real [-1.0, 1.0]
@attribute a28 real [-1.0, 1.0]
@attribute a29 real [-1.0, 1.0]
@attribute a30 real [-1.0, 1.0]
@attribute a31 real [-1.0, 1.0]
@attribute a32 real [-1.0, 1.0]
@attribute a33 real [-1.0, 1.0]
@attribute a34 real [-1.0, 1.0]
@attribute class {b, g}
@inputs a01, a02, a03, a04, a05, a06, a07, a08, a09, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34
@outputs class
@data
1.0, 0.0, 0.5754, -0.03175, 0.75198, -0.05357, 0.61508, -0.0119, 0.53968, 0.03373, 0.61706, 0.09921, 0.59127, -0.02381, 0.62698, 0.0119, 0.70833, 0.02579, 0.60317, 0.01587, 0.47817, -0.02778, 0.59127, 0.0377, 0.5, 0.03968, 0.61291, -0.01237, 0.61706, -0.13492, 0.68849, -0.01389, 0.625, -0.03175, g
1.0, 0.0, 0.59887, 0.14689, 0.69868, -0.13936, 0.85122, -0.13936, 0.80979, 0.02448, 0.50471, 0.02825, 0.6742, -0.0452, 0.80791, -0.13748, 0.51412, -0.24482, 0.81544, -0.14313, 0.70245, -0.00377, 0.33333, 0.06215, 0.56121, -0.33145, 0.61444, -0.16837, 0.52731, -0.02072, 0.53861, -0.31262, 0.6742, -0.22034, g
1.0, 0.0, 0.49515, 0.09709, 0.29612, 0.05825, 0.34951, 0.0, 0.57282, -0.02427, 0.58252, 0.02427, 0.33495, 0.04854, 0.52427, 0.00485, 0.47087, -0.1068, 0.43204, 0.00485, 0.34951, 0.05825, 0.18932, 0.25728, 0.31068, -0.15049, 0.36547, 0.03815, 0.3932, 0.17476, 0.26214, 0.0, 0.37379, -0.01942, g
1.0, 0.0, 0.96355, -0.07198, 1.0, -0.14333, 1.0, -0.21313, 1.0, -0.36174, 0.9257, -0.43569, 0.9451, -0.40668, 0.90392, -0.46381, 0.98305, -0.35257, 0.84537, -0.6602, 0.75346, -0.60589, 0.69637, -0.64225, 0.85106, -0.6544, 0.57577, -0.69712, 0.25435, -0.63919, 0.45114, -0.72779, 0.38895, -0.7342, g
1.0, 0.0, 1.0, -0.06604, 1.0, 0.62937, 1.0, 0.09557, 1.0, 0.2028, 1.0, -1.0, 1.0, -0.40559, 1.0, -0.15851, 1.0, 0.04895, 1.0, -0.61538, 1.0, -0.26573, 1.0, -1.0, 1.0, -0.58042, 1.0, -0.81372, 1.0, -1.0, 1.0, -0.78555, 1.0, -0.48252, g
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.33333, 0.16667, 0.26042, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19792, -0.21875, -0.16667, 0.90625, -1.0, 0.5, 0.04167, 0.75, -0.22917, -1.0, -0.125, -0.27083, -0.19792, -0.9375, b
1.0, 0.0, 0.41932, 0.12482, 0.35, 0.125, 0.23182, 0.27955, -0.03636, 0.44318, 0.04517, 0.36194, -0.19091, 0.33636, -0.1335, 0.27322, 0.02727, 0.40455, -0.34773, 0.12727, -0.20028, 0.05078, -0.18636, 0.36364, -0.14003, -0.04802, -0.09971, -0.07114, -1.0, -1.0, -0.02916, -0.07464, -0.00526, -0.06314, b
1.0, 0.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, b
1.0, 0.0, 0.97467, 0.13082, 0.9412, 0.20036, 0.88783, 0.32248, 0.89009, 0.32711, 0.8555, 0.45217, 0.72298, 0.52284, 0.69946, 0.5882, 0.58548, 0.66893, 0.48869, 0.70398, 0.44245, 0.68159, 0.35289, 0.75622, 0.26832, 0.7621, 0.16813, 0.78541, 0.07497, 0.80439, -0.02962, 0.77702, -0.10289, 0.74242, g
1.0, 0.0, 0.93537, 0.13645, 0.93716, 0.25359, 0.85705, 0.38779, 0.79039, 0.47127, 0.72352, 0.59942, 0.6526, 0.75, 0.5083, 0.73586, 0.41629, 0.82742, 0.25539, 0.85952, 0.13712, 0.85615, 0.00494, 0.88869, -0.07361, 0.7978, -0.20995, 0.78004, -0.33169, 0.71454, -0.38532, 0.64363, -0.47419, 0.55835, g
1.0, 0.0, 1.0, -0.15899, 0.72314, 0.27686, 0.83443, -0.58388, 1.0, -0.28207, 1.0, -0.49863, 0.79962, -0.12527, 0.76837, 0.14638, 1.0, 0.39337, 1.0, 0.2659, 0.96354, -0.01891, 0.92599, -0.91338, 1.0, 0.14803, 1.0, -0.11582, 1.0, -0.11129, 1.0, 0.53372, 1.0, -0.57758, g
1.0, 0.0, 0.88241, 0.30634, 0.73232, 0.57816, 0.34109, 0.58527, 0.05717, 1.0, -0.09238, 0.92118, -0.62403, 0.71996, -0.69767, 0.32558, -0.81422, 0.41195, -1.0, -0.00775, -0.78973, -0.41085, -0.76901, -0.45478, -0.57242, -0.67605, -0.3161, -0.81876, -0.02979, -0.86841, 0.25392, -0.82127, 0.00194, -0.81686, g
1.0, 0.0, 0.84713, -0.03397, 0.86412, -0.08493, 0.81953, 0.0, 0.73673, -0.07643, 0.71975, -0.13588, 0.74947, -0.11677, 0.77495, -0.18684, 0.78132, -0.21231, 0.61996, -0.10191, 0.79193, -0.15711, 0.89384, -0.03397, 0.84926, -0.26115, 0.74115, -0.23312, 0.66242, -0.22293, 0.72611, -0.37792, 0.65817, -0.24841, g
1.0, 0.0, 0.82254, -0.07572, 0.80462, 0.00231, 0.87514, -0.01214, 0.86821, -0.07514, 0.72832, -0.11734, 0.84624, 0.05029, 0.83121, -0.07399, 0.74798, 0.06705, 0.78324, 0.06358, 0.86763, -0.0237, 0.78844, -0.06012, 0.74451, -0.0237, 0.76717, -0.02731, 0.74046, -0.0763, 0.70058, -0.0422, 0.78439, 0.01214, g
1.0, 0.0, 0.87772, -0.08152, 0.83424, 0.07337, 0.84783, 0.04076, 0.77174, -0.02174, 0.77174, -0.05707, 0.82337, -0.10598, 0.67935, -0.00543, 0.88043, -0.20924, 0.83424, 0.03261, 0.86413, -0.05978, 0.97283, -0.27989, 0.85054, -0.1875, 0.83705, -0.10211, 0.8587, -0.03261, 0.78533, -0.1087, 0.79076, -0.00543, g
1.0, 0.0, 0.68198, -0.17314, 0.82332, 0.21908, 0.46643, 0.32862, 0.25795, 0.58304, 1.0, -0.15194, 0.0106, 0.44523, 0.0106, 0.38869, 0.18681, 0.41168, 0.10567, 0.36353, 0.04325, 0.30745, -8.3E-4, 0.24936, -0.02862, 0.19405, -0.04314, 0.14481, -0.04779, 0.10349, -0.04585, 0.07064, -0.04013, 0.04586, b
1.0, 0.0, 0.65909, -0.62879, 0.0, 0.0, 0.0, 0.0, 0.77273, 1.0, 1.0, -0.2803, 0.0, 0.0, 0.0, 0.0, 0.62121, -0.22727, 0.84091, -1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.93939, -0.12879, -0.93182, 0.0, 0.0, 0.0, 0.0, b
1.0, 0.0, 1.0, 0.06655, 1.0, -0.18388, 1.0, -0.2732, 1.0, -0.43107, 1.0, -0.41349, 0.96232, -0.51874, 0.90711, -0.59017, 0.8923, -0.66474, 0.69876, -0.70997, 0.70645, -0.7632, 0.63081, -0.80544, 0.55867, -0.89128, 0.47211, -0.865, 0.40303, -0.83675, 0.30996, -0.89093, 0.22995, -0.89158, g
1.0, 0.0, 1.0, -0.57224, 0.9915, -0.73371, 0.89518, -0.9745, 1.0, -0.35818, 1.0, -0.23229, 0.6289, -0.86402, 1.0, -0.57535, 1.0, -0.79603, 0.76771, -0.88952, 0.96601, -1.0, 0.7012, -0.74896, 0.61946, -0.76904, 0.53777, -0.77986, 0.8102, -1.0, 1.0, -1.0, 0.30445, -0.76112, g
1.0, 0.0, 0.90116, 0.16607, 0.79299, 0.37379, 0.7299, 0.50515, 0.59784, 0.72997, 0.44303, 0.81152, 0.24412, 0.87493, 0.06438, 0.85038, -0.12611, 0.87396, -0.28739, 0.79617, -0.46635, 0.65924, -0.57135, 0.53805, -0.68159, 0.39951, -0.71844, 0.25835, -0.72369, 0.11218, -0.71475, -0.05525, -0.67699, -0.19904, g
1.0, 0.0, 1.0, -0.5421, 1.0, -1.0, 1.0, -1.0, 1.0, 0.36217, 1.0, -0.41119, 1.0, 1.0, 1.0, -1.0, 1.0, -0.29354, 1.0, -0.93599, 1.0, 1.0, 1.0, 1.0, 1.0, -0.40888, 1.0, -0.62745, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, b
1.0, 0.0, 0.01667, -0.35625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12292, -0.55, 0.22813, 0.82813, 1.0, -0.42292, 0.0, 0.0, 0.08333, -1.0, -0.10625, -0.16667, 1.0, -0.76667, -1.0, 0.18854, 0.0, 0.0, 1.0, -0.27292, b
1.0, 0.0, 1.0, 0.23058, 1.0, -0.78509, 1.0, -0.10401, 1.0, 0.15414, 1.0, 0.2782, 0.9812, -0.06861, 1.0, 0.0661, 0.95802, -0.18954, 0.83584, -0.15633, 0.974, 0.03728, 0.99624, 0.09242, 1.0, -0.01253, 0.96238, -0.04597, 0.91165, 0.03885, 1.0, -0.13722, 0.96523, -0.11717, g
1.0, 0.0, 1.0, 0.0838, 1.0, 0.17387, 1.0, -0.13308, 0.98172, 0.6452, 1.0, 0.47904, 1.0, 0.59113, 1.0, 0.70758, 1.0, 0.82777, 1.0, 0.95099, 1.0, 1.0, 0.98042, 1.0, 0.91624, 1.0, 0.83899, 1.0, 0.74822, 1.0, 0.64358, 1.0, 0.52479, 1.0, g
0.0, 0.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, b
1.0, 0.0, 0.0, 0.0, 0.98919, -0.22703, 0.18919, -0.05405, 0.0, 0.0, 0.93243, 0.07297, 1.0, -0.2, 1.0, 0.07027, 1.0, -0.11351, 0.0, 0.0, 1.0, -0.21081, 1.0, -0.41622, 0.0, 0.0, 1.0, -0.17568, 0.0, 0.0, 1.0, -0.25946, 0.28919, -0.15676, b
1.0, 0.0, 0.65845, 0.43617, 0.44681, 0.74804, 0.05319, 0.85106, -0.32027, 0.82139, -0.68253, 0.52408, -0.84211, 0.07111, -0.82811, -0.28723, -0.47032, -0.71725, -0.04759, -0.86002, 0.23292, -0.76316, 0.56663, -0.52128, 0.743, -0.18645, 0.74758, 0.23713, 0.45185, 0.59071, 0.20549, 0.76764, -0.18533, 0.74356, g
1.0, 0.0, 0.47368, -0.10526, 0.83781, 0.01756, 0.83155, 0.02615, 0.68421, -0.05263, 0.68421, 0.0, 0.79856, 0.05028, 0.78315, 0.05756, 0.84211, 0.47368, 1.0, 0.05263, 0.7255, 0.07631, 0.70301, 0.08141, 0.42105, 0.21053, 0.65419, 0.08968, 0.52632, -0.21053, 0.6015, 0.09534, 0.57418, 0.09719, g
1.0, 0.0, 0.83508, 0.08298, 0.73739, -0.14706, 0.84349, -0.05567, 0.90441, -0.04622, 0.89391, 0.1313, 0.81197, 0.06723, 0.79307, -0.08929, 1.0, -0.02101, 0.96639, 0.06618, 0.87605, 0.01155, 0.77521, 0.06618, 0.95378, -0.04202, 0.83479, 0.00123, 1.0, 0.12815, 0.8666, -0.10714, 0.90546, -0.04307, g
1.0, 0.0, 0.96087, 0.0862, 0.9676, 0.19279, 0.96026, 0.27451, 0.98044, 0.35052, 0.92867, 0.46281, 0.86265, 0.52517, 0.8282, 0.58794, 0.73242, 0.69065, 0.69003, 0.7314, 0.54473, 0.6882, 0.48339, 0.76197, 0.40615, 0.74689, 0.33401, 0.83796, 0.24944, 0.86061, 0.13756, 0.86835, 0.09048, 0.86285, g
1.0, 0.0, 0.25316, 0.35949, 0.0, 0.0, -0.2962, -1.0, 0.0, 0.0, 0.07595, -0.07342, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00759, 0.68101, -0.2, 0.33671, -0.1038, 0.35696, 0.0557, -1.0, 0.0, 0.0, 0.06329, -1.0, 0.0, 0.0, b
0.0, 0.0, 1.0, 1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 0.0, 0.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, b
1.0, 0.0, 0.5984, 0.40332, 0.82809, 0.80521, 0.76001, 0.70709, 0.8401, -0.10984, 0.97311, 0.07981, 0.95824, -0.85727, 0.91962, 0.88444, 0.95452, -0.05206, 0.88673, 0.18135, 0.98484, -0.69594, 0.8667, -0.85755, 0.28604, -0.30063, 1.0, 0.17076, 0.62958, 0.42677, 0.87757, 0.81007, 0.81979, 0.68822, b
1.0, 0.0, 0.42708, -0.5, 0.0, 0.0, 0.0, 0.0, 0.46458, 0.51042, 0.58958, 0.02083, 0.0, 0.0, 0.0, 0.0, 0.16458, -0.45417, 0.59167, -0.18333, 0.0, 0.0, 0.0, 0.0, 0.9875, -0.40833, -1.0, -1.0, -0.27917, -0.75625, 0.0, 0.0, 0.0, 0.0, b
1.0, 0.0, 0.47938, -0.12371, 0.42784, -0.12371, 0.70103, -0.39175, 0.73196, 0.07216, 0.26289, -0.21649, 0.49485, 0.15979, 0.45361, -0.11856, 0.42268, 0.06186, 0.5, -0.2732, 0.54639, 0.18557, 0.42268, 0.08247, 0.70619, 0.19588, 0.53396, -0.12447, 0.15464, -0.26289, 0.47423, 0.04124, 0.45361, -0.51546, g
1.0, 0.0, 1.0, -0.37838, 0.64865, 0.2973, 0.64865, -0.24324, 0.86486, 0.18919, 1.0, -0.27027, 0.51351, 0.0, 0.62162, -0.05405, 0.32432, -0.21622, 0.71833, -0.17666, 0.62162, 0.05405, 0.75676, 0.13514, 0.35135, -0.2973, 0.61031, -0.22163, 0.58478, -0.23027, 0.72973, -0.59459, 0.51351, -0.24324, g
1.0, 0.0, 0.25, 0.16667, 0.46667, 0.26667, 0.19036, 0.23966, 0.07766, 0.19939, 0.0107, 0.14922, -0.02367, 0.10188, -0.03685, 0.06317, -0.03766, 0.03458, -0.0323, 0.01532, -0.02474, 0.00357, -0.01726, -0.00273, -0.01097, -0.00539, -0.00621, -0.00586, -0.00294, -0.0052, -8.9E-4, -0.00408, 2.5E-4, -0.00291, g
1.0, 0.0, 0.97032, -0.14384, 0.91324, -0.00228, 0.96575, -0.17123, 0.9863, 0.18265, 0.91781, 0.00228, 0.93607, -0.08447, 0.91324, -0.00228, 0.86758, -0.08676, 0.97032, -0.21233, 1.0, 0.10274, 0.92009, -0.05251, 0.92466, 0.06849, 0.94043, -0.09252, 0.97032, -0.20091, 0.85388, -0.08676, 0.96575, -0.21918, g
1.0, 0.0, 0.58459, -0.35526, 1.0, 0.35338, 0.75376, -0.00564, 0.82519, 0.19361, 0.50188, -0.27632, 0.65977, 0.06391, 0.69737, 0.14662, 0.72368, -0.42669, 0.76128, 0.04511, 0.66917, 0.20489, 0.84774, -0.40977, 0.6485, -0.04699, 0.56836, -0.10571, 0.5282, -0.13346, 0.15602, -0.12218, 0.44767, -0.10309, g
1.0, 0.0, 1.0, 0.63548, 1.0, 1.0, 0.77123, 1.0, -0.33333, 1.0, -1.0, 1.0, 0.0, 1.0, -1.0, 1.0, -1.0, 0.0, -1.0, -0.66667, -1.0, -0.92536, -1.0, -0.33333, -0.33333, -1.0, 0.19235, -1.0, 1.0, -1.0, 0.0, -1.0, 1.0, -0.66667, g
1.0, 0.0, 0.95659, 0.08143, 0.97487, -0.05667, 0.97165, -0.08484, 0.96097, -0.06561, 0.94717, 0.01279, 0.95436, -0.16795, 0.94612, -0.19497, 0.9963, -0.32268, 0.90343, -0.35902, 0.91428, -0.27316, 0.9014, -0.29807, 0.99899, -0.40747, 0.87244, -0.34586, 0.92059, -0.30619, 0.83951, -0.39061, 0.82166, -0.41173, g
1.0, 0.0, 1.0, -0.14754, 1.0, 0.04918, 0.57377, -0.01639, 0.65574, 0.01639, 0.85246, -0.03279, 0.72131, 0.0, 0.68852, -0.16393, 0.19672, -0.14754, 0.65558, -0.17176, 0.67213, 0.03279, 1.0, -0.29508, 0.31148, -0.34426, 0.52385, -0.20325, 0.32787, -0.03279, 0.27869, -0.44262, 0.4918, -0.06557, b
0.0, 0.0, -1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 0.0, 0.0, b
1.0, 0.0, 0.89835, 0.35157, 0.67333, 0.62233, 0.43898, 0.94353, -0.03643, 0.8051, -0.22838, 0.75334, -0.25137, 0.48816, -0.57377, 0.28415, -0.6675, 0.10591, -0.47359, -0.06193, -0.81056, -0.06011, -0.33197, -0.47592, -0.12897, -0.5362, 0.07158, -0.51925, 0.24321, -0.43478, 0.36586, -0.30057, 0.42805, 0.13297, g
1.0, 0.0, 1.0, 0.0738, 1.0, 0.0342, 1.0, -0.05563, 1.0, 0.08764, 1.0, 0.19651, 1.0, 0.20328, 1.0, 0.12785, 1.0, 0.10561, 1.0, 0.27087, 1.0, 0.44758, 1.0, 0.4175, 1.0, 0.20033, 1.0, 0.36743, 0.95603, 0.48641, 1.0, 0.32492, 1.0, 0.46712, g
1.0, 0.0, 0.8941, 0.13425, 0.87001, 0.31543, 0.78896, 0.43388, 0.63388, 0.59975, 0.54003, 0.71016, 0.39699, 0.76161, 0.24266, 0.79523, 0.09134, 0.79598, -0.09159, 0.76261, -0.20201, 0.66926, -0.30263, 0.6261, -0.40552, 0.50489, -0.46215, 0.40753, -0.50314, 0.27252, -0.52823, 0.19172, -0.48808, 0.05972, g
1.0, 0.0, 0.90147, 0.41786, 0.64131, 0.75725, 0.3044, 0.95148, -0.20449, 0.96534, -0.55483, 0.81191, -0.81857, 0.50949, -0.96986, 0.10345, -0.91456, -0.31412, -0.70163, -0.65461, -0.32354, -0.88999, 0.05865, -0.94172, 0.44483, -0.82154, 0.74105, -0.55231, 0.89415, -0.18725, 0.87893, 0.20359, 0.70555, 0.54852, g
1.0, 0.0, 1.0, 0.06843, 1.0, 0.14211, 1.0, 0.22108, 1.0, -0.125, 1.0, 0.39495, 1.0, 0.48981, 1.0, 0.58986, -0.375, 1.0, 1.0, 0.0, 1.0, 0.92001, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.25, 1.0, 1.0, 1.0, 1.0, g
1.0, 0.0, 0.92436, 0.36924, 0.71976, 0.6842, 0.29303, 0.94078, -0.11108, 0.76527, -0.31605, 0.92453, -0.66616, 0.78766, -0.92145, 0.42314, -0.94315, 0.09585, -1.0, 0.03191, -0.66431, -0.66278, -0.4601, -0.78174, -0.13486, -0.88082, 0.19765, -0.85137, 0.48904, -0.70247, 0.69886, -0.46048, 0.76066, -0.13194, g
1.0, 0.0, 1.0, -0.86701, 1.0, 0.2228, 0.85492, -0.39896, 1.0, -0.1209, 1.0, 0.35147, 1.0, 0.07772, 1.0, -0.14767, 1.0, -1.0, 1.0, -1.0, 0.61831, 0.15803, 1.0, 0.62349, 1.0, -0.17012, 1.0, 0.35924, 1.0, -0.66494, 1.0, 0.88428, 1.0, -0.18826, b
1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.66667, 0.11111, 1.0, -0.11111, 0.88889, -0.11111, 1.0, -0.22222, 0.77778, 0.0, 0.77778, 0.0, 1.0, -0.11111, 0.77778, -0.11111, 0.66667, -0.11111, 0.66667, 0.0, 0.90347, -0.05352, 1.0, 0.11111, 0.88889, -0.11111, 1.0, 0.0, g
1.0, 0.0, 1.0, 0.11385, 0.70019, -0.12144, 0.81594, 0.09677, 0.71157, 0.01139, 0.56167, -0.0778, 0.6907, 0.12524, 0.58634, 0.03985, 0.53131, -0.03416, 0.6945, 0.16888, 0.72676, 0.07211, 0.32068, 0.05882, 0.53321, 0.37381, 0.4909, 0.17951, 0.1518, 0.32448, 0.44141, 0.18897, 0.56167, 0.1518, g
1.0, 0.0, 0.71521, -0.00647, 0.66667, -0.04207, 0.63107, -0.05178, 0.77994, 0.08091, 0.67314, 0.09709, 0.64725, 0.15858, 0.60194, -0.01942, 0.54369, -0.04531, 0.46926, -0.10032, 0.64725, 0.14887, 0.39159, 0.21683, 0.52427, -0.05502, 0.45105, 4.0E-4, 0.31392, -0.06796, 0.49191, -0.1068, 0.30421, -0.05178, g
